row_label_raw,row_label_full,Khoản mục,"Nhà cửa, vật kiến trúc",Máy móc thiết bị,Phương tiện vận tải truyền dẫn,Tài sản cố định khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiện vận tải truyền dẫn,numeric__Tài sản cố định khác,numeric__Tổng cộng
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,
Số dư tại ngày 01/01/2025,Nguyên giá TSCĐ hữu hình > Số dư tại ngày 01/01/2025,Số dư tại ngày 01/01/2025,97.230.040.905,117.465.277.034,96.460.997.427,7.969.100.339,319.125.415.705,97230040905.0,117465277034.0,96460997427.0,7969100339.0,319125415705.0
- Mua trong năm,Nguyên giá TSCĐ hữu hình > - Mua trong năm,- Mua trong năm,262.621.726.719,3.282.973.820,"1.117.708.788,00",210.053.377,267.232.462.704,262621726719.0,3282973820.0,1117708788.0,210053377.0,267232462704.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(2.821.417.755),-,(2.821.417.755),,,-2821417755.0,,-2821417755.0
Số dư tại ngày 31/12/2025,Nguyên giá TSCĐ hữu hình > Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,359.851.767.624,120.748.250.854,94.757.288.460,8.179.153.716,583.536.460.654,359851767624.0,120748250854.0,94757288460.0,8179153716.0,583536460654.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư tại ngày 01/01/2025,Giá trị hao mòn lũy kế > Số dư tại ngày 01/01/2025,Số dư tại ngày 01/01/2025,59.644.122.224,96.855.347.045,75.328.668.893,7.805.104.227,239.633.242.389,59644122224.0,96855347045.0,75328668893.0,7805104227.0,239633242389.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,5.237.742.609,7.898.439.981,5.059.312.268,66.348.901,18.261.843.759,5237742609.0,7898439981.0,5059312268.0,66348901.0,18261843759.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(2.821.417.755),-,(2.821.417.755),,,-2821417755.0,,-2821417755.0
Số dư tại ngày 31/12/2025,Giá trị hao mòn lũy kế > Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,64.881.864.833,104.753.787.026,77.566.563.406,7.871.453.128,255.073.668.393,64881864833.0,104753787026.0,77566563406.0,7871453128.0,255073668393.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,
Số dư tại ngày 01/01/2025,Giá trị còn lại của TSCĐ hữu hình > Số dư tại ngày 01/01/2025,Số dư tại ngày 01/01/2025,37.585.918.681,20.609.929.989,21.132.328.534,163.996.112,79.492.173.316,37585918681.0,20609929989.0,21132328534.0,163996112.0,79492173316.0
Số dư tại ngày 31/12/2025,Giá trị còn lại của TSCĐ hữu hình > Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,294.969.902.791,15.994.463.828,17.190.725.054,307.700.588,328.462.792.261,294969902791.0,15994463828.0,17190725054.0,307700588.0,328462792261.0
