row_label_raw,row_label_full,Nội dung > - Lợi nhuận sau thuế năm 2024,Tỷ lệ,Số tiền (VND) > 867.024.901.859,numeric__Tỷ lệ,numeric__Số tiền (VND) > 867.024.901.859
- Trích lập quỹ dự trữ bổ sung vốn điều lệ,- Trích lập quỹ dự trữ bổ sung vốn điều lệ,- Trích lập quỹ dự trữ bổ sung vốn điều lệ,10%,86.702.490.185,0.1,86702490185.0
- Trích lập quỹ dự phòng tài chính,- Trích lập quỹ dự phòng tài chính,- Trích lập quỹ dự phòng tài chính,10%,86.702.490.185,0.1,86702490185.0
- Trích lập quỹ khen thưởng,- Trích lập quỹ khen thưởng,- Trích lập quỹ khen thưởng,1%,8.670.249.018,0.01,8670249018.0
- Lợi nhuận còn lại sau khi trích lập các quỹ,- Lợi nhuận còn lại sau khi trích lập các quỹ,- Lợi nhuận còn lại sau khi trích lập các quỹ,,684.949.672.471,,684949672471.0
