row_label_raw,row_label_full,- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi > Số cuối năm,- Thuyết minh theo loại tiền gửi > Số đầu năm,numeric__- Thuyết minh theo loại tiền gửi > Số cuối năm,numeric__- Thuyết minh theo loại tiền gửi > Số đầu năm
"Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn",6.015.477.499.751,3.626.078.794.832,6015477499751.0,3626078794832.0
- Bằng VND,- Bằng VND,- Bằng VND,5.911.247.024.023,3.574.722.504.813,5911247024023.0,3574722504813.0
- Bằng vàng và ngoại tệ,- Bằng vàng và ngoại tệ,- Bằng vàng và ngoại tệ,104.230.475.728,51.356.290.019,104230475728.0,51356290019.0
"Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn",93.018.823.253.377,86.618.898.351.669,93018823253377.0,86618898351669.0
- Bằng VND,- Bằng VND,- Bằng VND,92.931.236.652.010,86.503.698.228.769,92931236652010.0,86503698228769.0
- Bằng vàng và ngoại tệ,- Bằng vàng và ngoại tệ,- Bằng vàng và ngoại tệ,87.586.601.367,115.200.122.900,87586601367.0,115200122900.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,-,-,,
Tiền gửi ký quỹ,Tiền gửi vốn chuyên dùng > Tiền gửi ký quỹ,Tiền gửi ký quỹ,45.637.139.474,44.443.731.322,45637139474.0,44443731322.0
- Bằng VND,Tiền gửi vốn chuyên dùng > - Bằng VND,- Bằng VND,45.591.387.944,44.403.030.077,45591387944.0,44403030077.0
- Bằng vàng và ngoại tệ,Tiền gửi vốn chuyên dùng > - Bằng vàng và ngoại tệ,- Bằng vàng và ngoại tệ,45.751.530,40.701.245,45751530.0,40701245.0
Tổng cộng,Tiền gửi vốn chuyên dùng > Tổng cộng,Tổng cộng,99.079.937.892.602,90.289.420.877.823,99079937892602.0,90289420877823.0
