row_label_raw,row_label_full,Họ và tên > Ông Nguyễn Văn Trọng,Chức vụ > Tổng Giám đốc,Ngày bổ nhiệm/Miễn nhiệm > Bổ nhiệm ngày 17/04/2025,numeric__Chức vụ > Tổng Giám đốc,numeric__Ngày bổ nhiệm/Miễn nhiệm > Bổ nhiệm ngày 17/04/2025
Ông Trần Tiến Dũng,Ông Trần Tiến Dũng,Ông Trần Tiến Dũng,Phó Tổng Giám đốc,,,
Ông Bùi Xuân Dũng,Ông Bùi Xuân Dũng,Ông Bùi Xuân Dũng,Phó Tổng Giám đốc,,,
Ông Phạm Linh,Ông Phạm Linh,Ông Phạm Linh,Phó Tổng Giám đốc,Miễn nhiệm ngày 11/01/2025,,
Ông Nguyễn Thành Công,Ông Nguyễn Thành Công,Ông Nguyễn Thành Công,Kế toán trường,,,
