row_label_raw,row_label_full,CHỈ TIÊU > Số dư đầu năm trước > Tăng trong năm > - Lợi nhuận tăng trong năm trước,Vốn góp chủ sở hữu > 5.399.600.430.000 > -,Thặng dư vốn cổ phần > 98.600.000 > -,Vốn chủ sở hữu khác > 13.470.351 > -,Quỹ dự phòng tài chính > 381.810.049.905 > 74.409.365.187 > -,Quỹ dự trữ bổ sung vốn điều lệ > 126.722.039.836 > 37.204.682.593 > -,Chênh lệch tỷ giá hối đoái > -,Lợi nhuận sau thuế chưa phân phối/ Lỗ lũy kế > 2.088.848.996.960 > 867.024.901.858,Tổng > 7.997.093.587.052 > 978.638.949.638 > 867.024.901.858,numeric__Vốn góp chủ sở hữu > 5.399.600.430.000 > -,numeric__Thặng dư vốn cổ phần > 98.600.000 > -,numeric__Vốn chủ sở hữu khác > 13.470.351 > -,numeric__Quỹ dự phòng tài chính > 381.810.049.905 > 74.409.365.187 > -,numeric__Quỹ dự trữ bổ sung vốn điều lệ > 126.722.039.836 > 37.204.682.593 > -,numeric__Chênh lệch tỷ giá hối đoái > -,numeric__Lợi nhuận sau thuế chưa phân phối/ Lỗ lũy kế > 2.088.848.996.960 > 867.024.901.858,numeric__Tổng > 7.997.093.587.052 > 978.638.949.638 > 867.024.901.858
- Trích bổ sung các quỹ,- Trích bổ sung các quỹ,- Trích bổ sung các quỹ,-,-,-,74.409.365.187,37.204.682.593,-,-,111.614.047.780,,,,74409365187.0,37204682593.0,,,111614047780.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,-,-,(119.054.984.298),(119.054.984.298),,,,,,,-119054984298.0,-119054984298.0
- Trích bổ sung các quỹ,- Trích bổ sung các quỹ,- Trích bổ sung các quỹ,-,-,-,-,-,-,(119.054.984.298),(119.054.984.298),,,,,,,-119054984298.0,-119054984298.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,5.399.600.430.000,98.600.000,13.470.351,456.219.415.092,163.926.722.429,-,2.836.818.914.520,8.856.677.552.392,5399600430000.0,98600000.0,13470351.0,456219415092.0,163926722429.0,,2836818914520.0,8856677552392.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,5.399.600.430.000,98.600.000,13.470.351,456.219.415.092,163.926.722.429,-,2.836.818.914.520,8.856.677.552.392,5399600430000.0,98600000.0,13470351.0,456219415092.0,163926722429.0,,2836818914520.0,8856677552392.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,2.764.006.290.000,-,-,216.502.490.185,216.502.490.185,-,1.319.999.834.944,4.517.011.105.314,2764006290000.0,,,216502490185.0,216502490185.0,,1319999834944.0,4517011105314.0
- Tăng vốn trong năm,- Tăng vốn trong năm,- Tăng vốn trong năm,2.764.006.290.000,-,-,-,-,-,-,2.764.006.290.000,2764006290000.0,,,,,,,2764006290000.0
- Lợi nhuận tăng trong năm,- Lợi nhuận tăng trong năm,- Lợi nhuận tăng trong năm,-,-,-,-,-,-,1.319.999.834.944,1.319.999.834.944,,,,,,,1319999834944.0,1319999834944.0
- Trích bổ sung các quỹ (i),- Trích bổ sung các quỹ (i),- Trích bổ sung các quỹ (i),-,-,-,216.502.490.185,216.502.490.185,-,-,433.004.980.370,,,,216502490185.0,216502490185.0,,,433004980370.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,-,-,-,-,,,,,,,,
Giảm trong năm,- Tăng khác > Giảm trong năm,Giảm trong năm,-,-,-,-,(159.917.149.750),-,(3.058.744.369.638),(3.218.661.519.388),,,,,-159917149750.0,,-3058744369638.0,-3218661519388.0
- Trích lập các quỹ (i),- Tăng khác > - Trích lập các quỹ (i),- Trích lập các quỹ (i),-,-,-,-,-,-,(454.655.229.388),(454.655.229.388),,,,,,,-454655229388.0,-454655229388.0
- Giảm do chia cổ tức từ nguồn lợi nhuận chưa phân phối,- Tăng khác > - Giảm do chia cổ tức từ nguồn lợi nhuận chưa phân phối,- Giảm do chia cổ tức từ nguồn lợi nhuận chưa phân phối,-,-,-,-,-,-,(2.604.089.140.250),(2.604.089.140.250),,,,,,,-2604089140250.0,-2604089140250.0
- Sử dụng quỹ dự trữ để bổ sung vốn điều lệ,- Tăng khác > - Sử dụng quỹ dự trữ để bổ sung vốn điều lệ,- Sử dụng quỹ dự trữ để bổ sung vốn điều lệ,-,-,-,-,(159.917.149.750),-,-,(159.917.149.750),,,,,-159917149750.0,,,-159917149750.0
Số dư cuối năm nay,- Tăng khác > Số dư cuối năm nay,Số dư cuối năm nay,8.163.606.720.000,98.600.000,13.470.351,672.721.905.277,220.512.062.864,-,1.098.074.379.826,10.155.027.138.318,8163606720000.0,98600000.0,13470351.0,672721905277.0,220512062864.0,,1098074379826.0,10155027138318.0
