row_label_raw,row_label_full,Tiền và các khoản tương đương tiền,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Tiền mặt và các khoản tương đương tiền tại quỹ,Tiền mặt và các khoản tương đương tiền tại quỹ,Tiền mặt và các khoản tương đương tiền tại quỹ,330.713.532.909,332.682.411.624,330713532909.0,332682411624.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,1.130.892.390.822,1.307.943.260.441,1130892390822.0,1307943260441.0
"Tiền, ngoại hối gửi tại các TCTD khác (không kỳ hạn và có kỳ hạn không quá 3 tháng)","Tiền, ngoại hối gửi tại các TCTD khác (không kỳ hạn và có kỳ hạn không quá 3 tháng)","Tiền, ngoại hối gửi tại các TCTD khác (không kỳ hạn và có kỳ hạn không quá 3 tháng)",19.627.706.658.791,11.888.962.745.317,19627706658791.0,11888962745317.0
Tổng cộng,Tổng cộng,Tổng cộng,21.089.312.582.522,13.529.588.417.382,21089312582522.0,13529588417382.0
