row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,Phần mềm máy vi tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,,,,,
Số dư tại ngày 01/01/2025,Nguyên giá TSCĐ vô hình > Số dư tại ngày 01/01/2025,Số dư tại ngày 01/01/2025,112.001.521.341,134.150.225.908,22.412.953.920,268.564.701.169,112001521341.0,134150225908.0,22412953920.0,268564701169.0
- Mua trong năm,Nguyên giá TSCĐ vô hình > - Mua trong năm,- Mua trong năm,"4.564.225.254,00",2.675.543.600,2.016.764.800,9.256.533.654,4564225254.0,2675543600.0,2016764800.0,9256533654.0
Số dư tại ngày 31/12/2025,Nguyên giá TSCĐ vô hình > Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,116.565.746.595,136.825.769.508,24.429.718.720,277.821.234.823,116565746595.0,136825769508.0,24429718720.0,277821234823.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,
Số dư tại ngày 01/01/2025,Giá trị hao mòn lũy kế > Số dư tại ngày 01/01/2025,Số dư tại ngày 01/01/2025,-,97.270.697.540,14.865.474.620,112.136.172.160,,97270697540.0,14865474620.0,112136172160.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,12.942.627.017,4.438.266.140,17.380.893.157,,12942627017.0,4438266140.0,17380893157.0
Số dư tại ngày 31/12/2025,Giá trị hao mòn lũy kế > Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,-,110.213.324.557,19.303.740.760,129.517.065.317,,110213324557.0,19303740760.0,129517065317.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,,,,,
Số dư tại ngày 01/01/2025,Giá trị còn lại của TSCĐ vô hình > Số dư tại ngày 01/01/2025,Số dư tại ngày 01/01/2025,112.001.521.341,36.879.528.368,7.547.479.300,156.428.529.009,112001521341.0,36879528368.0,7547479300.0,156428529009.0
Số dư tại ngày 31/12/2025,Giá trị còn lại của TSCĐ vô hình > Số dư tại ngày 31/12/2025,Số dư tại ngày 31/12/2025,116.565.746.595,26.612.444.951,5.125.977.960,148.304.169.506,116565746595.0,26612444951.0,5125977960.0,148304169506.0
