row_label_raw,row_label_full,col_0,Miền Bắc,Miền Trung,Miền Nam,Loại trừ,Tổng cộng,numeric__Miền Bắc,numeric__Miền Trung,numeric__Miền Nam,numeric__Loại trừ,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
I. Tài sản,I. Tài sản,I. Tài sản,111.619.350,2.214.585,26.651.597,-,140.485.532,111619350.0,2214585.0,26651597.0,,140485532.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,114.823,70.791,145.100,-,330.714,114823.0,70791.0,145100.0,,330714.0
2. Tài sản cố định,2. Tài sản cố định,2. Tài sản cố định,450.894,6.843,19.029,-,476.767,450894.0,6843.0,19029.0,,476767.0
3. Tài sản khác,3. Tài sản khác,3. Tài sản khác,111.053.633,2.136.951,26.487.468,-,139.678.051,111053633.0,2136951.0,26487468.0,,139678051.0
II. Nợ phải trả,II. Nợ phải trả,II. Nợ phải trả,61.105.474,25.490.525,43.734.506,-,130.330.505,61105474.0,25490525.0,43734506.0,,130330505.0
1. Các khoản nợ Chính phủ và Ngân hàng Nhà nước,1. Các khoản nợ Chính phủ và Ngân hàng Nhà nước,1. Các khoản nợ Chính phủ và Ngân hàng Nhà nước,4.735.943,-,-,-,4.735.943,4735943.0,,,,4735943.0
2. Nợ phải trả khách hàng bên ngoài,2. Nợ phải trả khách hàng bên ngoài,2. Nợ phải trả khách hàng bên ngoài,55.706.780,25.466.802,43.670.053,-,124.843.635,55706780.0,25466802.0,43670053.0,,124843635.0
3. Nợ phải trả nội bộ,3. Nợ phải trả nội bộ,3. Nợ phải trả nội bộ,83.825,-,-,-,83.825,83825.0,,,,83825.0
4. Nợ phải trả khác,4. Nợ phải trả khác,4. Nợ phải trả khác,578.926,23.723,64.453,-,667.102,578926.0,23723.0,64453.0,,667102.0
