row_label_raw,row_label_full,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,5.1,9.575.808.324.018,7.289.559.255.271,51.0,9575808324018.0,7289559255271.0
2. Chi phí lãi và các chi phí tương tự,2. Chi phí lãi và các chi phí tương tự,2. Chi phí lãi và các chi phí tương tự,5.2,6.173.924.445.883,4.961.857.966.406,52.0,6173924445883.0,4961857966406.0
I. Thu nhập lãi thuần,I. Thu nhập lãi thuần,I. Thu nhập lãi thuần,,3.401.883.878.135,2.327.701.288.865,,3401883878135.0,2327701288865.0
3. Thu nhập từ hoạt động dịch vụ,3. Thu nhập từ hoạt động dịch vụ,3. Thu nhập từ hoạt động dịch vụ,,192.019.734.006,163.203.616.672,,192019734006.0,163203616672.0
4. Chi phí hoạt động dịch vụ,4. Chi phí hoạt động dịch vụ,4. Chi phí hoạt động dịch vụ,,28.421.764.492,34.574.361.048,,28421764492.0,34574361048.0
II. Lãi/lỗ thuần từ hoạt động dịch vụ,II. Lãi/lỗ thuần từ hoạt động dịch vụ,II. Lãi/lỗ thuần từ hoạt động dịch vụ,5.3,163.597.969.514,128.629.255.624,53.0,163597969514.0,128629255624.0
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối,III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối,III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối,5.4,25.656.813.734,(1.467.310.194),54.0,25656813734.0,-1467310194.0
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,5.5,-,(38.337.600),55.0,,-38337600.0
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,5.6,(14.207.376.843),40.024.011.282,56.0,-14207376843.0,40024011282.0
5. Thu nhập từ hoạt động khác,5. Thu nhập từ hoạt động khác,5. Thu nhập từ hoạt động khác,,213.707.968.611,178.571.083.356,,213707968611.0,178571083356.0
6. Chi phí hoạt động khác,6. Chi phí hoạt động khác,6. Chi phí hoạt động khác,,26.631.840.568,19.775.356.276,,26631840568.0,19775356276.0
VI. Lãi/lỗ thuần từ hoạt động khác,VI. Lãi/lỗ thuần từ hoạt động khác,VI. Lãi/lỗ thuần từ hoạt động khác,5.7,187.076.128.043,158.795.727.080,57.0,187076128043.0,158795727080.0
"VII. Thu nhập từ góp vốn, mua cổ phần","VII. Thu nhập từ góp vốn, mua cổ phần","VII. Thu nhập từ góp vốn, mua cổ phần",5.8,22.914.588.024,8.303.955.000,58.0,22914588024.0,8303955000.0
VIII. Chi phí hoạt động,VIII. Chi phí hoạt động,VIII. Chi phí hoạt động,5.9,972.513.582.449,1.021.123.000.621,59.0,972513582449.0,1021123000621.0
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,2.814.408.418.158,1.640.825.589.436,,2814408418158.0,1640825589436.0
X. Chi phí dự phòng rủi ro tín dụng,X. Chi phí dự phòng rủi ro tín dụng,X. Chi phí dự phòng rủi ro tín dụng,,1.168.606.536.388,555.164.005.464,,1168606536388.0,555164005464.0
XI. Tổng lợi nhuận trước thuế,XI. Tổng lợi nhuận trước thuế,XI. Tổng lợi nhuận trước thuế,,1.645.801.881.770,1.085.661.583.972,,1645801881770.0,1085661583972.0
7. Chi phí thuế TNDN hiện hành,7. Chi phí thuế TNDN hiện hành,7. Chi phí thuế TNDN hiện hành,5.10,325.802.046.826,218.636.682.113,510.0,325802046826.0,218636682113.0
8. Chi phí thuế TNDN hoãn lại,8. Chi phí thuế TNDN hoãn lại,8. Chi phí thuế TNDN hoãn lại,,-,-,,,
XII. Chi phí thuế Thu nhập doanh nghiệp,8. Chi phí thuế TNDN hoãn lại > XII. Chi phí thuế Thu nhập doanh nghiệp,XII. Chi phí thuế Thu nhập doanh nghiệp,5.10,325.802.046.826,218.636.682.113,510.0,325802046826.0,218636682113.0
XIII. Lợi nhuận sau thuế Thu nhập doanh nghiệp,8. Chi phí thuế TNDN hoãn lại > XIII. Lợi nhuận sau thuế Thu nhập doanh nghiệp,XIII. Lợi nhuận sau thuế Thu nhập doanh nghiệp,,1.319.999.834.944,867.024.901.859,,1319999834944.0,867024901859.0
XIV. Lãi cơ bản trên cổ phiếu,8. Chi phí thuế TNDN hoãn lại > XIV. Lãi cơ bản trên cổ phiếu,XIV. Lãi cơ bản trên cổ phiếu,5.11,2.106,1.606,511.0,2106.0,1606.0
XV. Lãi suy giảm trên cổ phiếu,8. Chi phí thuế TNDN hoãn lại > XV. Lãi suy giảm trên cổ phiếu,XV. Lãi suy giảm trên cổ phiếu,5.11,2.106,1.606,511.0,2106.0,1606.0
