row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay,Tổng tiền gửi và tiền vay,Các cam kết tín dụng,CCTC pnarl sının (Tổng giá trị giao dịch theo hợp đồng),Kinh doanh và đầu tư chứng khoán,numeric__Tổng dư nợ cho vay,numeric__Tổng tiền gửi và tiền vay,numeric__Các cam kết tín dụng,numeric__CCTC pnarl sının (Tổng giá trị giao dịch theo hợp đồng),numeric__Kinh doanh và đầu tư chứng khoán
Trong nước,Trong nước,Trong nước,87.680.386,20.588.043,16.049.314,"201.725,49",19.193.831,87680386.0,20588043.0,16049314.0,201725.49,19193831.0
Ngoài nước,Ngoài nước,Ngoài nước,-,170.556,-,-,-,,170556.0,,,
