row_label_raw,row_label_full,col_0,Dự phòng chung,Dự phòng cụ thể,numeric__Dự phòng chung,numeric__Dự phòng cụ thể
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,(206.043),(49.179),-206043.0,-49179.0
Dự phòng rủi ro trích lập trong năm,Năm nay > Dự phòng rủi ro trích lập trong năm,Dự phòng rủi ro trích lập trong năm,(36.001),(5.830),-36001.0,-5830.0
Sử dụng dự phòng trong năm,Năm nay > Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,-,1.065,,1065.0
Số cuối năm nay,Năm nay > Số cuối năm nay,Số cuối năm nay,(242.044),(53.944),-242044.0,-53944.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,
Số đầu năm trước,Năm trước > Số đầu năm trước,Số đầu năm trước,(180.176),(39.710),-180176.0,-39710.0
Dự phòng rủi ro trích lập trong năm trước,Năm trước > Dự phòng rủi ro trích lập trong năm trước,Dự phòng rủi ro trích lập trong năm trước,(25.867),(9.469),-25867.0,-9469.0
Số cuối năm trước,Năm trước > Số cuối năm trước,Số cuối năm trước,(206.043),(49.179),-206043.0,-49179.0
Chi tiết số dự dự phòng,Chi tiết số dự dự phòng,Chi tiết số dự dự phòng,Chi tiết số dự dự phòng,Chi tiết số dự dự phòng,,
,,,Số cuối năm,Số đầu năm,,
Dự phòng rủi ro cho vay khách hàng:,Dự phòng rủi ro cho vay khách hàng:,Dự phòng rủi ro cho vay khách hàng:,Dự phòng rủi ro cho vay khách hàng:,Dự phòng rủi ro cho vay khách hàng:,,
Dự phòng chung,Dự phòng rủi ro cho vay khách hàng: > Dự phòng chung,Dự phòng chung,(242.044),(206.043),-242044.0,-206043.0
Dự phòng cụ thể,Dự phòng rủi ro cho vay khách hàng: > Dự phòng cụ thể,Dự phòng cụ thể,(53.944),(49.179),-53944.0,-49179.0
Cộng,Dự phòng rủi ro cho vay khách hàng: > Cộng,Cộng,(295.988),(255.222),-295988.0,-255222.0
