row_label_raw,row_label_full,Bảng đối chiếu biến động của vốn chủ sở hữu,Bảng đối chiếu biến động của vốn chủ sở hữu_1,Bảng đối chiếu biến động của vốn chủ sở hữu_2,Bảng đối chiếu biến động của vốn chủ sở hữu_3,Bảng đối chiếu biến động của vốn chủ sở hữu_4,Bảng đối chiếu biến động của vốn chủ sở hữu_5,numeric__Bảng đối chiếu biến động của vốn chủ sở hữu_1,numeric__Bảng đối chiếu biến động của vốn chủ sở hữu_2,numeric__Bảng đối chiếu biến động của vốn chủ sở hữu_3,numeric__Bảng đối chiếu biến động của vốn chủ sở hữu_4,numeric__Bảng đối chiếu biến động của vốn chủ sở hữu_5
,,,Vốn điều lệ,Cổ phiếu quỹ,Quỹ của TCTD,Lợi nhuận chưa phân phối,Cộng,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.000.000,(34.200),285.244,300.553,3.551.597,3000000.0,-34200.0,285244.0,300553.0,3551597.0
Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,-,-,-,231.889,231.889,,,,231889.0,231889.0
Trích các quỹ dự trữ bắt buộc,Trích các quỹ dự trữ bắt buộc,Trích các quỹ dự trữ bắt buộc,-,-,30.254,(30.254),-,,,30254.0,-30254.0,
Tăng vốn từ chia cổ tức bằng cổ phiếu và sử dụng quỹ dự trữ bổ sung vốn điều lệ,Tăng vốn từ chia cổ tức bằng cổ phiếu và sử dụng quỹ dự trữ bổ sung vốn điều lệ,Tăng vốn từ chia cổ tức bằng cổ phiếu và sử dụng quỹ dự trữ bổ sung vốn điều lệ,236.958,-,(88.859),(148.099),-,236958.0,,-88859.0,-148099.0,
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,(33.339),(33.339),,,,-33339.0,-33339.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.236.958,(34.200),226.639,320.750,3.750.147,3236958.0,-34200.0,226639.0,320750.0,3750147.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.236.958,(34.200),226.639,320.750,3.750.147,3236958.0,-34200.0,226639.0,320750.0,3750147.0
Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,-,-,-,67.674,67.674,,,,67674.0,67674.0
Trích các quỹ dự trữ bắt buộc,Trích các quỹ dự trữ bắt buộc,Trích các quỹ dự trữ bắt buộc,-,-,34.784,(34.784),-,,,34784.0,-34784.0,
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,(25.967),(25.967),,,,-25967.0,-25967.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.236.958,(34.200),261.423,327.673,3.791.854,3236958.0,-34200.0,261423.0,327673.0,3791854.0
