row_label_raw,row_label_full,col_0,Lĩnh vựcngân hàng,Lĩnh vựcquản lý nợvà khai thacctài sản,Loại trừ,Cộng,numeric__Lĩnh vựcngân hàng,numeric__Lĩnh vựcquản lý nợvà khai thacctài sản,numeric__Loại trừ,numeric__Cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Thu nhập,Năm nay > Thu nhập,Thu nhập,4.121.593,72.876,(30.980),4.163.489,4121593.0,72876.0,-30980.0,4163489.0
Chi phí,Năm nay > Chi phí,Chi phí,3.977.803,2.684,26.311,4.006.798,3977803.0,2684.0,26311.0,4006798.0
Chi phí khấu hao tài sản cố định và bấtđộng sản đầu tư,Năm nay > Chi phí khấu hao tài sản cố định và bấtđộng sản đầu tư,Chi phí khấu hao tài sản cố định và bấtđộng sản đầu tư,68.427,2.343,-,70.770,68427.0,2343.0,,70770.0
Lợi nhuận trước thuế,Năm nay > Lợi nhuận trước thuế,Lợi nhuận trước thuế,75.363,67.849,(57.291),85.921,75363.0,67849.0,-57291.0,85921.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Thu nhập,Năm trước > Thu nhập,Thu nhập,3.386.941,345.711,(242.875),3.489.777,3386941.0,345711.0,-242875.0,3489777.0
Chi phí,Năm trước > Chi phí,Chi phí,3.088.857,268.325,(227.341),3.129.841,3088857.0,268325.0,-227341.0,3129841.0
Chi phí khấu hao tài sản cố định và bấtđộng sản đầu tư,Năm trước > Chi phí khấu hao tài sản cố định và bấtđộng sản đầu tư,Chi phí khấu hao tài sản cố định và bấtđộng sản đầu tư,62.850,7.004,-,69.854,62850.0,7004.0,,69854.0
Lợi nhuận trước thuế,Năm trước > Lợi nhuận trước thuế,Lợi nhuận trước thuế,235.234,70.382,(15.534),290.082,235234.0,70382.0,-15534.0,290082.0
