row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị ghi số,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá trị ghi số,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá trị ghi số,numeric__Số đầu năm > Giá trị hợp lý
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,-,,255.545,,,,255545.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,12.280.937,,7.992.502,,12280937.0,,7992502.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,32.920.772,,29.206.157,,32920772.0,,29206157.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,1.200.000,,300.000,,1200000.0,,300000.0,
"Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",687.964,,548.930,,687964.0,,548930.0,
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,203.061,,228.636,,203061.0,,228636.0,
Cộng,Cộng,Cộng,47.292.734,,38.531.770,,47292734.0,,38531770.0,
