row_label_raw,row_label_full,"Tại ngày kết thúc năm tài chính, công nợ với các bên liên quan như sau:","Tại ngày kết thúc năm tài chính, công nợ với các bên liên quan như sau: > Số cuối năm","Tại ngày kết thúc năm tài chính, công nợ với các bên liên quan như sau: > Số đầu năm","numeric__Tại ngày kết thúc năm tài chính, công nợ với các bên liên quan như sau: > Số cuối năm","numeric__Tại ngày kết thúc năm tài chính, công nợ với các bên liên quan như sau: > Số đầu năm"
Các công ty và cá nhân có liên quan đến thành viên Hội đồng quản trị,Các công ty và cá nhân có liên quan đến thành viên Hội đồng quản trị,Các công ty và cá nhân có liên quan đến thành viên Hội đồng quản trị,,,,
Phải thu tiền cho thuê văn phòng,Các công ty và cá nhân có liên quan đến thành viên Hội đồng quản trị > Phải thu tiền cho thuê văn phòng,Phải thu tiền cho thuê văn phòng,-,7.119,,7119.0
Cộng nợ phải thu,Các công ty và cá nhân có liên quan đến thành viên Hội đồng quản trị > Cộng nợ phải thu,Cộng nợ phải thu,-,7.119,,7119.0
Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,,,,
Tiền gửi,Thành viên Hội đồng quản trị > Tiền gửi,Tiền gửi,675,483,675.0,483.0
Lãi phải trả,Thành viên Hội đồng quản trị > Lãi phải trả,Lãi phải trả,-,1,,1.0
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,,,,
Tiền gửi,Thành viên Ban Tổng Giám đốc > Tiền gửi,Tiền gửi,3.877,324,3877.0,324.0
Lãi phải trả,Thành viên Ban Tổng Giám đốc > Lãi phải trả,Lãi phải trả,49,4,49.0,4.0
Thành viên Ban kiểm soát,Thành viên Ban kiểm soát,Thành viên Ban kiểm soát,,,,
Tiền gửi,Thành viên Ban kiểm soát > Tiền gửi,Tiền gửi,838,150,838.0,150.0
Lãi phải trả,Thành viên Ban kiểm soát > Lãi phải trả,Lãi phải trả,22,2,22.0,2.0
Các công ty và cá nhân có liên quan đến thành viên Hội đồng quản trị,Các công ty và cá nhân có liên quan đến thành viên Hội đồng quản trị,Các công ty và cá nhân có liên quan đến thành viên Hội đồng quản trị,,,,
Tiền gửi,Các công ty và cá nhân có liên quan đến thành viên Hội đồng quản trị > Tiền gửi,Tiền gửi,6.602,462,6602.0,462.0
Lãi phải trả,Các công ty và cá nhân có liên quan đến thành viên Hội đồng quản trị > Lãi phải trả,Lãi phải trả,42,47,42.0,47.0
Phải trả tiền cọc cho thuê văn phòng,Các công ty và cá nhân có liên quan đến thành viên Hội đồng quản trị > Phải trả tiền cọc cho thuê văn phòng,Phải trả tiền cọc cho thuê văn phòng,-,480,,480.0
Các công ty và cá nhân có liên quan đến thành viên Ban Tổng Giám đốc,Các công ty và cá nhân có liên quan đến thành viên Ban Tổng Giám đốc,Các công ty và cá nhân có liên quan đến thành viên Ban Tổng Giám đốc,,,,
Tiền gửi,Các công ty và cá nhân có liên quan đến thành viên Ban Tổng Giám đốc > Tiền gửi,Tiền gửi,12.872,268,12872.0,268.0
Lãi phải trả,Các công ty và cá nhân có liên quan đến thành viên Ban Tổng Giám đốc > Lãi phải trả,Lãi phải trả,460,393,460.0,393.0
Các công ty và cá nhân có liên quan đến thành viên Ban kiểm soát,Các công ty và cá nhân có liên quan đến thành viên Ban kiểm soát,Các công ty và cá nhân có liên quan đến thành viên Ban kiểm soát,,,,
Tiền gửi,Các công ty và cá nhân có liên quan đến thành viên Ban kiểm soát > Tiền gửi,Tiền gửi,1.200,5,1200.0,5.0
Lãi phải trả,Các công ty và cá nhân có liên quan đến thành viên Ban kiểm soát > Lãi phải trả,Lãi phải trả,25,30,25.0,30.0
Cộng nợ phải trả,Các công ty và cá nhân có liên quan đến thành viên Ban kiểm soát > Cộng nợ phải trả,Cộng nợ phải trả,26.662,2.649,26662.0,2649.0
