row_label_raw,row_label_full,Tiền gửi và vay các TCTD,Tiền gửi và vay các TCTD_1,Tiền gửi và vay các TCTD_2,Tiền gửi và vay các TCTD_3,Tiền gửi và vay các TCTD_4,numeric__Tiền gửi và vay các TCTD_1,numeric__Tiền gửi và vay các TCTD_2,numeric__Tiền gửi và vay các TCTD_3,numeric__Tiền gửi và vay các TCTD_4
khác,khác,khác,1.375.930,-,-,1.375.930,1375930.0,,,1375930.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,184.201,662,17,184.880,184201.0,662.0,17.0,184880.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,3.692,-,-,3.692,3692.0,,,3692.0
Tổng nợ phải trảvà vốn chủ sở hữu,Tổng nợ phải trảvà vốn chủ sở hữu,Tổng nợ phải trảvà vốn chủ sở hữu,1.563.823,662,17,1.564.502,1563823.0,662.0,17.0,1564502.0
Trạng thái tiền tệội bảng,Trạng thái tiền tệội bảng,Trạng thái tiền tệội bảng,228.348,5.276,9.357,242.981,228348.0,5276.0,9357.0,242981.0
Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,-,-,-,,,,
"Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ ngoại bảng > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",228.348,5.276,9.357,242.981,228348.0,5276.0,9357.0,242981.0
