row_label_raw,row_label_full,Mức rủi ro tín dụng của các tài khoản thuộcBảng cân đối kế toán hợp nhất,Số cuối năm > Mức rủi ro tín dụng của các tài khoản thuộcBảng cân đối kế toán hợp nhất,Số đầu năm > Mức rủi ro tín dụng của các tài khoản thuộcBảng cân đối kế toán hợp nhất,numeric__Số cuối năm > Mức rủi ro tín dụng của các tài khoản thuộcBảng cân đối kế toán hợp nhất,numeric__Số đầu năm > Mức rủi ro tín dụng của các tài khoản thuộcBảng cân đối kế toán hợp nhất
Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,2.998.548,1.852.903,2998548.0,1852903.0
Tiền gửi và cho vay tại các TCTD khác,Tiền gửi và cho vay tại các TCTD khác,Tiền gửi và cho vay tại các TCTD khác,9.877.201,5.399.327,9877201.0,5399327.0
Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,33.479.645,29.471.994,33479645.0,29471994.0
Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,830.764,1.553.963,830764.0,1553963.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",1.270.241,1.561.344,1270241.0,1561344.0
Các tài sản tài chính khác – gộp,Các tài sản tài chính khác – gộp,Các tài sản tài chính khác – gộp,132.782,205.587,132782.0,205587.0
Cộng,Cộng,Cộng,48.589.181,40.045.118,48589181.0,40045118.0
Mức độ rủi ro tín dụng của các tài khoản ngoạibảng,Mức độ rủi ro tín dụng của các tài khoản ngoạibảng,Mức độ rủi ro tín dụng của các tài khoản ngoạibảng,Mức độ rủi ro tín dụng của các tài khoản ngoạibảng,Mức độ rủi ro tín dụng của các tài khoản ngoạibảng,,
Cam kết trong nghiệp vụ L/C - gộp,Mức độ rủi ro tín dụng của các tài khoản ngoạibảng > Cam kết trong nghiệp vụ L/C - gộp,Cam kết trong nghiệp vụ L/C - gộp,8.186,51.949,8186.0,51949.0
Bảo lãnh khác - gộp,Mức độ rủi ro tín dụng của các tài khoản ngoạibảng > Bảo lãnh khác - gộp,Bảo lãnh khác - gộp,141.002,112.633,141002.0,112633.0
Cộng,Mức độ rủi ro tín dụng của các tài khoản ngoạibảng > Cộng,Cộng,149.188,164.582,149188.0,164582.0
