row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,TSCĐ khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__TSCĐ khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,630.341.517.795,3.547.081.239.721,244.500.256.487,14.420.443.671,725.753.480,4.437.069.211.154,630341517795.0,3547081239721.0,244500256487.0,14420443671.0,725753480.0,4437069211154.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,456.140.156,8.165.643.902,255.000.000,69.050.000,-,8.945.834.058,456140156.0,8165643902.0,255000000.0,69050000.0,,8945834058.0
Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 11),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 11),Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 11),-,2.928.914.170,859.345.455,-,-,3.788.259.625,,2928914170.0,859345455.0,,,3788259625.0
Tại ngày 31 tháng 12 năm 2020,Nguyên giá > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,630.797.657.951,3.558.175.797.793,245.614.601.942,14.489.493.671,725.753.480,4.449.803.304.837,630797657951.0,3558175797793.0,245614601942.0,14489493671.0,725753480.0,4449803304837.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,197.035.030.079,1.245.694.463.624,73.095.968.740,4.583.427.910,352.560.383,1.520.761.450.736,197035030079.0,1245694463624.0,73095968740.0,4583427910.0,352560383.0,1520761450736.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,43.174.292.800,281.065.973.742,17.739.129.680,1.813.882.034,50.242.963,343.843.521.219,43174292800.0,281065973742.0,17739129680.0,1813882034.0,50242963.0,343843521219.0
Tại ngày 31 tháng 12 năm 2020,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,240.209.322.879,1.526.760.437.366,90.835.098.420,6.397.309.944,402.803.346,1.864.604.971.955,240209322879.0,1526760437366.0,90835098420.0,6397309944.0,402803346.0,1864604971955.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,433.306.487.716,2.301.386.776.097,171.404.287.747,9.837.015.761,373.193.097,2.916.307.760.418,433306487716.0,2301386776097.0,171404287747.0,9837015761.0,373193097.0,2916307760418.0
Tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,390.588.335.072,2.031.415.360.427,154.779.503.522,8.092.183.727,322.950.134,2.585.198.332.882,390588335072.0,2031415360427.0,154779503522.0,8092183727.0,322950134.0,2585198332882.0
