row_label_raw,row_label_full,col_0,Tại ngày 1.1.2020 > Phải thu VND,Tại ngày 1.1.2020 > Phải nộp VND,Số phải nộp/đã thực thu trong năm VND,Số phải trả/đã thực nộp trong năm VND,Tại ngày 31.12.2020 > Phải thu,Tại ngày 31.12.2020 > Phải nộp VND,numeric__Tại ngày 1.1.2020 > Phải thu VND,numeric__Tại ngày 1.1.2020 > Phải nộp VND,numeric__Số phải nộp/đã thực thu trong năm VND,numeric__Số phải trả/đã thực nộp trong năm VND,numeric__Tại ngày 31.12.2020 > Phải thu,numeric__Tại ngày 31.12.2020 > Phải nộp VND
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,123.679.764.840,-,1.440.808.503.785,1.384.441.438.106,67.312.699.161,-,123679764840.0,,1440808503785.0,1384441438106.0,67312699161.0,
Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,9.939.579.339,-,434.173.158.205,392.801.341.460,-,31.432.237.406,9939579339.0,,434173158205.0,392801341460.0,,31432237406.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,-,3.371.411.403,3.327.529.245,-,43.882.158,,,3371411403.0,3327529245.0,,43882158.0
Thuế TNDN hiện hành,Thuế TNDN hiện hành,Thuế TNDN hiện hành,1.866.727.526,-,25.194.222.196,6.760.599.978,-,16.566.894.692,1866727526.0,,25194222196.0,6760599978.0,,16566894692.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,758.814.883,7.065.860.507,5.186.896.636,-,2.637.778.754,,758814883.0,7065860507.0,5186896636.0,,2637778754.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,-,539.488.288,539.488.288,-,-,,,539488288.0,539488288.0,,
,,,135.486.071.705,758.814.883,1.911.152.644.384,1.793.057.293.713,67.312.699.161,50.680.793.010,135486071705.0,758814883.0,1911152644384.0,1793057293713.0,67312699161.0,50680793010.0
16 VAY VÀ NỘ THUÊ TÀI CHÍNH,16 VAY VÀ NỘ THUÊ TÀI CHÍNH,16 VAY VÀ NỘ THUÊ TÀI CHÍNH,16 VAY VÀ NỘ THUÊ TÀI CHÍNH,16 VAY VÀ NỘ THUÊ TÀI CHÍNH,16 VAY VÀ NỘ THUÊ TÀI CHÍNH,16 VAY VÀ NỘ THUÊ TÀI CHÍNH,16 VAY VÀ NỘ THUÊ TÀI CHÍNH,16 VAY VÀ NỘ THUÊ TÀI CHÍNH,,,,,,
(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,(a) Ngắn hạn,,,,,,
,,,Tại ngày 1.1.2020 VND,Tăng VND,Giảm VND,Đánh giá lại VND,Nợ dài hạn đến hạn trả VND,Tại ngày 31.12.2020 VND,,,,,,
Vay ngân hàng (*),(a) Ngắn hạn > Vay ngân hàng (*),Vay ngân hàng (*),2.337.477.478.823,11.098.457.061.598,(11.135.275.246.816),(1.195.444.577),169.200.000.000,2.468.663.849.028,2337477478823.0,11098457061598.0,-11135275246816.0,-1195444577.0,169200000000.0,2468663849028.0
Nợ thuê tài chính (Thuyết minh 16(c)),(a) Ngắn hạn > Nợ thuê tài chính (Thuyết minh 16(c)),Nợ thuê tài chính (Thuyết minh 16(c)),21.559.995.996,-,(21.559.995.996),-,21.559.995.996,21.559.995.996,21559995996.0,,-21559995996.0,,21559995996.0,21559995996.0
,,,2.359.037.474.819,11.098.457.061.598,(11.156.835.242.812),(1.195.444.577),190.759.995.996,2.490.223.845.024,2359037474819.0,11098457061598.0,-11156835242812.0,-1195444577.0,190759995996.0,2490223845024.0
