row_label_raw,row_label_full,col_0,2020VND,2019VND,numeric__2020VND,numeric__2019VND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,
Doanh thu bán thành phẩm,Doanh thu > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,11.423.169.302.301,12.183.049.407.306,11423169302301.0,12183049407306.0
Doanh thu cung cấp dịch vụ,Doanh thu > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,8.648.301.110,38.644.203.140,8648301110.0,38644203140.0
,,,11.431.817.603.411,12.221.693.610.446,11431817603411.0,12221693610446.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,,
Chiết khấu thương mại,Các khoản giảm trừ > Chiết khấu thương mại,Chiết khấu thương mại,(18.313.729.613),(25.824.901.494),-18313729613.0,-25824901494.0
Giảm giá hàng bán,Các khoản giảm trừ > Giảm giá hàng bán,Giảm giá hàng bán,(4.604.108.107),(4.399.085.943),-4604108107.0,-4399085943.0
Hàng bán bị trả lại,Các khoản giảm trừ > Hàng bán bị trả lại,Hàng bán bị trả lại,(21.208.216.373),(14.061.608.233),-21208216373.0,-14061608233.0
,,,(44.126.054.093),(44.285.595.670),-44126054093.0,-44285595670.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,,
Doanh thu thuần về bán thành phẩm,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần về bán thành phẩm,Doanh thu thuần về bán thành phẩm,11.379.043.248.208,12.138.763.811.636,11379043248208.0,12138763811636.0
Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về cung cấp dịch vụ,8.648.301.110,38.644.203.140,8648301110.0,38644203140.0
,,,11.387.691.549.318,12.177.408.014.776,11387691549318.0,12177408014776.0
