row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Cổ phiếu quỹ VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,1.819.998.680.000,766.255.590.000,37.357.566.342,34.587.922.436,-,272.438.304.634,2.930.638.063.412,1819998680000.0,766255590000.0,37357566342.0,34587922436.0,,272438304634.0,2930638063412.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,91.524.341.350,91.524.341.350,,,,,,91524341350.0,91524341350.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(1.720.035.719),(1.720.035.719),,,,,,-1720035719.0,-1720035719.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,1.146.690.479,-,-,(1.146.690.479),-,,,1146690479.0,,,-1146690479.0,
Trích quỹ khác thuộc vốn chủ sở hữu,Trích quỹ khác thuộc vốn chủ sở hữu,Trích quỹ khác thuộc vốn chủ sở hữu,-,-,-,1.146.690.479,-,(1.146.690.479),-,,,,1146690479.0,,-1146690479.0,
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,1.819.998.680.000,766.255.590.000,38.504.256.821,35.734.612.915,-,359.949.229.307,3.020.442.369.043,1819998680000.0,766255590000.0,38504256821.0,35734612915.0,,359949229307.0,3020442369043.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,247.229.914.896,247.229.914.896,,,,,,247229914896.0,247229914896.0
Mua lại cổ phiếu đã phát hành (*),Mua lại cổ phiếu đã phát hành (*),Mua lại cổ phiếu đã phát hành (*),-,-,-,-,(78.043.577.721),-,(78.043.577.721),,,,,-78043577721.0,,-78043577721.0
Cổ tức (***),Cổ tức (***),Cổ tức (***),-,-,-,-,-,(51.599.960.400),(51.599.960.400),,,,,,-51599960400.0,-51599960400.0
"Trích quỹ khen thưởng, phúc lợi (**)","Trích quỹ khen thưởng, phúc lợi (**)","Trích quỹ khen thưởng, phúc lợi (**)",-,-,-,-,-,(1.420.011.434),(1.420.011.434),,,,,,-1420011434.0,-1420011434.0
Trích quỹ đầu tư phát triển (**),Trích quỹ đầu tư phát triển (**),Trích quỹ đầu tư phát triển (**),-,-,21.300.171.509,-,-,(21.300.171.509),-,,,21300171509.0,,,-21300171509.0,
Trích quỹ khác thuộc vốn chủ sở hữu (**),Trích quỹ khác thuộc vốn chủ sở hữu (**),Trích quỹ khác thuộc vốn chủ sở hữu (**),-,-,-,946.674.289,-,(946.674.289),-,,,,946674289.0,,-946674289.0,
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,1.819.998.680.000,766.255.590.000,59.804.428.330,36.681.287.204,(78.043.577.721),531.912.326.571,3.136.608.734.384,1819998680000.0,766255590000.0,59804428330.0,36681287204.0,-78043577721.0,531912326571.0,3136608734384.0
