row_label_raw,row_label_full,col_0,Quyên sử dụng đất VND,Phân mềm vi tính VND,Tổng cộng VND,numeric__Quyên sử dụng đất VND,numeric__Phân mềm vi tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,213.210.269.808,135.600.000,213.345.869.808,213210269808.0,135600000.0,213345869808.0
Chuyên từ chi phí xây dựng cơ bản dở dang (Thuyết minh 11),Nguyên giá > Chuyên từ chi phí xây dựng cơ bản dở dang (Thuyết minh 11),Chuyên từ chi phí xây dựng cơ bản dở dang (Thuyết minh 11),-,9.770.176.000,9.770.176.000,,9770176000.0,9770176000.0
Tại ngày 31 tháng 12 năm 2020,Nguyên giá > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,213.210.269.808,9.905.776.000,223.116.045.808,213210269808.0,9905776000.0,223116045808.0
Khâu hao lũy kê,Khâu hao lũy kê,Khâu hao lũy kê,Khâu hao lũy kê,Khâu hao lũy kê,Khâu hao lũy kê,,,
Tại ngày 1 tháng 1 năm 2020,Khâu hao lũy kê > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,19.490.844.912,135.600.000,19.626.444.912,19490844912.0,135600000.0,19626444912.0
Khâu hao trong năm,Khâu hao lũy kê > Khâu hao trong năm,Khâu hao trong năm,5.331.727.290,814.181.333,6.145.908.623,5331727290.0,814181333.0,6145908623.0
Tại ngày 31 tháng 12 năm 2020,Khâu hao lũy kê > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,24.822.572.202,949.781.333,25.772.353.535,24822572202.0,949781333.0,25772353535.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,193.719.424.896,-,193.719.424.896,193719424896.0,,193719424896.0
Tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,188.387.697.606,8.955.994.667,197.343.692.273,188387697606.0,8955994667.0,197343692273.0
