row_label_raw,row_label_full,Thù lao cho Hội đồng Quản trị:,Thù lao cho Hội đồng Quản trị:_1,Thù lao cho Hội đồng Quản trị:_2,numeric__Thù lao cho Hội đồng Quản trị:_1,numeric__Thù lao cho Hội đồng Quản trị:_2
Ông Hồ Minh Quang,Ông Hồ Minh Quang,Ông Hồ Minh Quang,Chủ tịch,120.000.000,,120000000.0
Ông Võ Hoàng Vũ,Ông Võ Hoàng Vũ,Ông Võ Hoàng Vũ,Thành viên,30.495.000,,30495000.0
Ông Nguyễn Vinh An,Ông Nguyễn Vinh An,Ông Nguyễn Vinh An,Thành viên,60.000.000,,60000000.0
Bà Nguyễn Ngọc Ý Nhi,Bà Nguyễn Ngọc Ý Nhi,Bà Nguyễn Ngọc Ý Nhi,Thành viên,30.495.000,,30495000.0
Ông Phạm Mạnh Hùng,Ông Phạm Mạnh Hùng,Ông Phạm Mạnh Hùng,Thành viên(đến ngày 1.9.2019),40.055.000,,40055000.0
Bà Trần Uyển Nhàn,Bà Trần Uyển Nhàn,Bà Trần Uyển Nhàn,Thành viên(đến ngày 29.6.2019),29.505.000,,29505000.0
Ông Lương Thanh Bình,Ông Lương Thanh Bình,Ông Lương Thanh Bình,Thành viên(đến ngày 29.6.2019),29.505.000,,29505000.0
