row_label_raw,row_label_full,col_0,Dự phòng chung triệu đồng,Dự phòng cụ thể triệu đồng,Tổng triệu đồng,numeric__Dự phòng chung triệu đồng,numeric__Dự phòng cụ thể triệu đồng,numeric__Tổng triệu đồng
Số dư đầu năm(Hoàn nhập)/Trích lập trong năm,Số dư đầu năm(Hoàn nhập)/Trích lập trong năm,Số dư đầu năm(Hoàn nhập)/Trích lập trong năm,153.124(130.334),-500.000(500.000),153.124369.666(500.000),,,
Xử lý rủi ro trong năm,Xử lý rủi ro trong năm,Xử lý rủi ro trong năm,-,-500.000(500.000),153.124369.666(500.000),,,
Số dư cuối năm,Xử lý rủi ro trong năm > Số dư cuối năm,Số dư cuối năm,22.790,-,22.790,22790.0,,22790.0
