row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,34.941,441.724,18.641,495.306,34941.0,441724.0,18641.0,495306.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,102.049,1.130,103.179,,102049.0,1130.0,103179.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,34.941,543.773,19.771,598.485,34941.0,543773.0,19771.0,598485.0
Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,Giá trị hao mòn luỷ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỷ kế > Số dư đầu năm,Số dư đầu năm,-,328.383,7.122,335.505,,328383.0,7122.0,335505.0
Hao mòn trong năm,Giá trị hao mòn luỷ kế > Hao mòn trong năm,Hao mòn trong năm,-,48.616,2.413,51.029,,48616.0,2413.0,51029.0
Số dư cuối năm,Giá trị hao mòn luỷ kế > Số dư cuối năm,Số dư cuối năm,-,376.999,9.535,386.534,,376999.0,9535.0,386534.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,34.941,113.341,11.519,159.801,34941.0,113341.0,11519.0,159801.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,34.941,166.774,10.236,211.951,34941.0,166774.0,10236.0,211951.0
