row_label_raw,row_label_full,col_0,Năm 2022triệu đồng,Năm 2021triệu đồng,numeric__Năm 2022triệu đồng,numeric__Năm 2021triệu đồng
Công ty FCCOM – Công ty con,Công ty FCCOM – Công ty con,Công ty FCCOM – Công ty con,Công ty FCCOM – Công ty con,Công ty FCCOM – Công ty con,,
Chi phí lãi tiền gửi,Công ty FCCOM – Công ty con > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,(3.872),(4.959),-3872.0,-4959.0
Thu nhập từ lãi tiền gửi,Công ty FCCOM – Công ty con > Thu nhập từ lãi tiền gửi,Thu nhập từ lãi tiền gửi,15.148,-,15148.0,
Thu phí dịch vụ,Công ty FCCOM – Công ty con > Thu phí dịch vụ,Thu phí dịch vụ,39,80,39.0,80.0
Thỏa thuận quản lý thể tin dụng khách hàng cá nhân,Công ty FCCOM – Công ty con > Thỏa thuận quản lý thể tin dụng khách hàng cá nhân,Thỏa thuận quản lý thể tin dụng khách hàng cá nhân,880.981,-,880981.0,
Giá trị khoản mua nợ của FCCOM,Công ty FCCOM – Công ty con > Giá trị khoản mua nợ của FCCOM,Giá trị khoản mua nợ của FCCOM,68.500,24.500,68500.0,24500.0
Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,,
Chi phí lãi tiền gửi,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,(75.979),(23.487),-75979.0,-23487.0
Thu nhập từ phí dịch vụ,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn > Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,-,2,,2.0
CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,,
Chi phí lãi tiền gửi,CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,(5),(12),-5.0,-12.0
Thu nhập từ phí dịch vụ,CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị > Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,145,152,145.0,152.0
Thu nhập lãi tiền vay,CTCP Đầu tư TNG Holding Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị > Thu nhập lãi tiền vay,Thu nhập lãi tiền vay,1,-,1.0,
CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị,,
Chi phí lãi tiền gửi,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,(42),(30),-42.0,-30.0
Thu nhập từ phí dịch vụ,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị > Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,70,37,70.0,37.0
Thu nhập từ lãi cho vay,CTCP Dịch vụ và nền tảng tài chính kỹ thuật số TNEX – Bên liên quan của thành viên Hội đồng Quản trị > Thu nhập từ lãi cho vay,Thu nhập từ lãi cho vay,1,-,1.0,
CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,,
Chi phí trả lãi tiền gửi,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị > Chi phí trả lãi tiền gửi,Chi phí trả lãi tiền gửi,(1),-,-1.0,
CTCP TNG Asset – Bên liên quan của thành viên Hội đồng Quản trị,CTCP TNG Asset – Bên liên quan của thành viên Hội đồng Quản trị,CTCP TNG Asset – Bên liên quan của thành viên Hội đồng Quản trị,CTCP TNG Asset – Bên liên quan của thành viên Hội đồng Quản trị,CTCP TNG Asset – Bên liên quan của thành viên Hội đồng Quản trị,,
Chi phí trả lãi tiền gửi,CTCP TNG Asset – Bên liên quan của thành viên Hội đồng Quản trị > Chi phí trả lãi tiền gửi,Chi phí trả lãi tiền gửi,(3),-,-3.0,
CTCP TNC Holdings – Bên liên quan của thành viên Hội đồng Quản trị,CTCP TNC Holdings – Bên liên quan của thành viên Hội đồng Quản trị,CTCP TNC Holdings – Bên liên quan của thành viên Hội đồng Quản trị,CTCP TNC Holdings – Bên liên quan của thành viên Hội đồng Quản trị,CTCP TNC Holdings – Bên liên quan của thành viên Hội đồng Quản trị,,
Chi phí trả lãi tiền gửi,CTCP TNC Holdings – Bên liên quan của thành viên Hội đồng Quản trị > Chi phí trả lãi tiền gửi,Chi phí trả lãi tiền gửi,(12),-,-12.0,
CTCP FANNY Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FANNY Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FANNY Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FANNY Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FANNY Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,,
Chi phí trả lãi tiền gửi,CTCP FANNY Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị > Chi phí trả lãi tiền gửi,Chi phí trả lãi tiền gửi,(3),-,-3.0,
CTCP Hàng tiêu dùng TNC – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Hàng tiêu dùng TNC – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Hàng tiêu dùng TNC – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Hàng tiêu dùng TNC – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Hàng tiêu dùng TNC – Bên liên quan của thành viên Hội đồng Quản trị,,
Chi phí trả lãi tiền gửi,CTCP Hàng tiêu dùng TNC – Bên liên quan của thành viên Hội đồng Quản trị > Chi phí trả lãi tiền gửi,Chi phí trả lãi tiền gửi,(1),-,-1.0,
