row_label_raw,row_label_full,Góp vốn,697.076,697.076_1,numeric__697.076,numeric__697.076_1
Tiền gửi thanh toán,Tiền gửi thanh toán,Tiền gửi thanh toán,(34.459),(217.916),-34459.0,-217916.0
Tiền gửi của MSB tại FCCOM,Tiền gửi của MSB tại FCCOM,Tiền gửi của MSB tại FCCOM,1.319.800,-,1319800.0,
Phải thu lãi tiền gửi,Phải thu lãi tiền gửi,Phải thu lãi tiền gửi,3.459,-,3459.0,
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,383,2.744,383.0,2744.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,61,61,61.0,61.0
Các khoản lãi phải trả khác,Các khoản lãi phải trả khác,Các khoản lãi phải trả khác,-,(9),,-9.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,(60.698),-,-60698.0,
