row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Vốn đầu tư xây dựng cơ bản,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Vốn đầu tư xây dựng cơ bản,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Ngày 01 tháng 01 năm 2021,Ngày 01 tháng 01 năm 2021,Ngày 01 tháng 01 năm 2021,11.750.000,400.000,(1.040.655),3.397,730.838,240.817,608,4.748.837,16.833.842,11750000.0,400000.0,-1040655.0,3397.0,730838.0,240817.0,608.0,4748837.0,16833842.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,3.525.000,-,-,-,-,-,-,(3.524.976),24,3525000.0,,,,,,,-3524976.0,24.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,4.126.105,4.126.105,,,,,,,,4126105.0,4126105.0
Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,-,91.710,1.040.655,-,-,-,-,-,1.132.365,,91710.0,1040655.0,,,,,,1132365.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,-,-,200.261,100.131,-,(300.392),-,,,,,200261.0,100131.0,,-300392.0,
Sử dụng quỹ,Sử dụng quỹ,Sử dụng quỹ,-,-,-,-,(178),-,-,-,(178),,,,,-178.0,,,,-178.0
Ngày 01 tháng 01 năm 2022,Ngày 01 tháng 01 năm 2022,Ngày 01 tháng 01 năm 2022,15.275.000,491.710,-,3.397,930.921,340.948,608,5.049.574,22.092.158,15275000.0,491710.0,,3397.0,930921.0,340948.0,608.0,5049574.0,22092158.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,4.621.309,4.621.309,,,,,,,,4621309.0,4621309.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,-,-,412.611,206.305,-,(618.916),-,,,,,412611.0,206305.0,,-618916.0,
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,4.582.500,(458.250),-,-,-,-,-,(4.124.250),-,4582500.0,-458250.0,,,,,,-4124250.0,
Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,19.857.500,33.460,-,3.397,1.343.532,547.253,608,4.927.717,26.713.467,19857500.0,33460.0,,3397.0,1343532.0,547253.0,608.0,4927717.0,26713467.0
