row_label_raw,row_label_full,Số dư đầu năm > Trích lập/(Hoàn nhập) trong năm > Xử lý rủi ro trong năm,Năm 2022 triệu đồng > 38.690 > 2.118 > (2.438),Năm 2021 triệu đồng > 136.992 > (302) > (98.000),numeric__Năm 2022 triệu đồng > 38.690 > 2.118 > (2.438),numeric__Năm 2021 triệu đồng > 136.992 > (302) > (98.000)
Tăng khác,Tăng khác,Tăng khác,1.698,-,1698.0,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,40.068,38.690,40068.0,38690.0
