row_label_raw,row_label_full,col_0,Năm 2022triệu đồng,Năm 2021triệu đồng,numeric__Năm 2022triệu đồng,numeric__Năm 2021triệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,734.743,1.157.403,734743.0,1157403.0
Thu nhập từ nợ đá xử lý rủi ro,Thu nhập từ nợ đá xử lý rủi ro,Thu nhập từ nợ đá xử lý rủi ro,443.467,806.417,443467.0,806417.0
Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,1.039,4.897,1039.0,4897.0
Thu từ chuyển nhượng thanh lý tài sản,Thu từ chuyển nhượng thanh lý tài sản,Thu từ chuyển nhượng thanh lý tài sản,1.762,3.141,1762.0,3141.0
Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,-,21.084,,21084.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,288.475,321.864,288475.0,321864.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(1.183.932),(539.362),-1183932.0,-539362.0
Chi về nghiệp vụ mua bán nợ,Chi về nghiệp vụ mua bán nợ,Chi về nghiệp vụ mua bán nợ,(2),(54.200),-2.0,-54200.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(24),(16.073),-24.0,-16073.0
Chi phí khác,Chi phí khác,Chi phí khác,(1.183.906),(469.089),-1183906.0,-469089.0
Lãi/(Lỗ) thuần từ hoạt động khác,Lãi/(Lỗ) thuần từ hoạt động khác,Lãi/(Lỗ) thuần từ hoạt động khác,(449.189),618.041,-449189.0,618041.0
