row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2022,Ngày 31 tháng 12năm 2022_1,Ngày 31 tháng 12năm 2021,Ngày 31 tháng 12năm 2021_1,numeric__Ngày 31 tháng 12năm 2022,numeric__Ngày 31 tháng 12năm 2022_1,numeric__Ngày 31 tháng 12năm 2021,numeric__Ngày 31 tháng 12năm 2021_1
,,,triệu đồng,%,triệu đồng,%,,,,
Doanh nghiệp nhà nước,Doanh nghiệp nhà nước,Doanh nghiệp nhà nước,1.548.658,"1,30",1.417.828,"1,40",1548658.0,1.3,1417828.0,1.4
Công ty trách nhiệm hữu hạn Nhà nước,Công ty trách nhiệm hữu hạn Nhà nước,Công ty trách nhiệm hữu hạn Nhà nước,1.147.306,"0,97",1.168.864,"1,15",1147306.0,0.97,1168864.0,1.15
Công ty trách nhiệm hữu hạn tư nhân,Công ty trách nhiệm hữu hạn tư nhân,Công ty trách nhiệm hữu hạn tư nhân,29.215.084,"24,61",25.561.254,"25,26",29215084.0,24.61,25561254.0,25.26
Công ty cổ phần có vốn cổ phần của Nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của Nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của Nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chỉ phối đối với công ty trong Điều lệ của công ty,1.134.953,"0,96",2.625.510,"2,59",1134953.0,0.96,2625510.0,2.59
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,49.424.333,"41,62",43.850.712,"43,33",49424333.0,41.62,43850712.0,43.33
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,149,"0,01",6.393,"0,01",149.0,0.01,6393.0,0.01
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,286.082,"0,24",356.060,"0,35",286082.0,0.24,356060.0,0.35
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,26.161,"0,02",15.384,"0,02",26161.0,0.02,15384.0,0.02
Cả nhân,Cả nhân,Cả nhân,35.928.020,"30,27",26.198.006,"25,89",35928020.0,30.27,26198006.0,25.89
Khác,Khác,Khác,-,-,1.447,"0,00",,,1447.0,0.0
,,,118.710.746,"100,00",101.201.458,"100,00",118710746.0,100.0,101201458.0,100.0
