row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2022 triệu đồng,Ngày 31 tháng 12 năm 2021 triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2022 triệu đồng,numeric__Ngày 31 tháng 12 năm 2021 triệu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và NHNN,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,18,1.014.560,1.017.253,18.0,1014560.0,1017253.0
"Tiền gửi và vay Chính phủ, NHNN","NỘ PHẢI TRẢ > Tiền gửi và vay Chính phủ, NHNN","Tiền gửi và vay Chính phủ, NHNN",,1.014.560,1.017.253,,1014560.0,1017253.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,19,50.298.619,68.083.520,19.0,50298619.0,68083520.0
Tiền gửi của các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,,29.264.324,34.126.856,,29264324.0,34126856.0
Vay các TCTD khác,NỘ PHẢI TRẢ > Vay các TCTD khác,Vay các TCTD khác,,21.034.295,33.956.664,,21034295.0,33956664.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,20,117.119.779,94.612.912,20.0,117119779.0,94612912.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,9,-,76.833,9.0,,76833.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,21,11.599.514,13.042.540,21.0,11599514.0,13042540.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,22,6.054.469,4.840.691,22.0,6054469.0,4840691.0
"Các khoản lái, phí phải trả","NỘ PHẢI TRẢ > Các khoản lái, phí phải trả","Các khoản lái, phí phải trả",22.1,2.251.981,1.605.620,221.0,2251981.0,1605620.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,22.2,3.802.488,3.235.071,222.0,3802488.0,3235071.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,186.086.941,181.673.749,,186086941.0,181673749.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn của TCTD,VỐN CHỦ SỞ HỮU > Vốn của TCTD,Vốn của TCTD,,19.891.568,15.767.318,,19891568.0,15767318.0
- Vốn điều lệ,VỐN CHỦ SỞ HỮU > - Vốn điều lệ,- Vốn điều lệ,,19.857.500,15.275.000,,19857500.0,15275000.0
- Vốn đầu tư xây dựng cơ bản,VỐN CHỦ SỞ HỮU > - Vốn đầu tư xây dựng cơ bản,- Vốn đầu tư xây dựng cơ bản,,608,608,,608.0,608.0
- Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > - Thặng dư vốn cổ phần,- Thặng dư vốn cổ phần,,33.460,491.710,,33460.0,491710.0
Quỹ của TCTD,VỐN CHỦ SỞ HỮU > Quỹ của TCTD,Quỹ của TCTD,,1.894.182,1.275.266,,1894182.0,1275266.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,4.927.717,5.049.574,,4927717.0,5049574.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,24,26.713.467,22.092.158,24.0,26713467.0,22092158.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,212.800.408,203.765.907,,212800408.0,203765907.0
