row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2022 triệu đồng,Ngày 31 tháng 12 năm 2021 triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2022 triệu đồng,numeric__Ngày 31 tháng 12 năm 2021 triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,1.393.551,1.524.098,5.0,1393551.0,1524098.0
"Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")","TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")","Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")",6,3.689.574,3.056.568,6.0,3689574.0,3056568.0
"Tiền gửi và cho vay các tổ chức tin dụng (""TCTD"") khác","TÀI SẢN > Tiền gửi và cho vay các tổ chức tin dụng (""TCTD"") khác","Tiền gửi và cho vay các tổ chức tin dụng (""TCTD"") khác",7,40.563.400,33.271.936,7.0,40563400.0,33271936.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,,30.683.440,19.739.194,,30683440.0,19739194.0
Cho vay các TCTD khác,TÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,,9.879.960,13.532.742,,9879960.0,13532742.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,21.675,23.487,8.0,21675.0,23487.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,39.287,39.287,,39287.0,39287.0
Dự phòng rủi ro chứng khoán kinh doanh,TÀI SẢN > Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,(17.612),(15.800),,-17612.0,-15800.0
Công cụ phải sinh và các tài sản tài chính khác,TÀI SẢN > Công cụ phải sinh và các tài sản tài chính khác,Công cụ phải sinh và các tài sản tài chính khác,,446.344,-,,446344.0,
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,117.318.787,99.555.096,,117318787.0,99555096.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,118.710.746,101.201.458,10.0,118710746.0,101201458.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(1.391.959),(1.646.362),11.0,-1391959.0,-1646362.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,12,-,-,12.0,,
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,383,2.744,,383.0,2744.0
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(383),(2.744),,-383.0,-2744.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,13,31.534.742,48.226.133,13.0,31534742.0,48226133.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,,31.554.087,48.257.483,,31554087.0,48257483.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,,(19.345),(31.350),,-19345.0,-31350.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",14,698.312,698.312,14.0,698312.0,698312.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,,697.076,697.076,,697076.0,697076.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,1.236,1.236,,1236.0,1236.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,363.326,291.185,,363326.0,291185.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,15,151.375,131.384,15.0,151375.0,131384.0
Nguyên giá,TÀI SẢN > Nguyên giá,Nguyên giá,,588.280,607.238,,588280.0,607238.0
Khẩu hao lũy kế,TÀI SẢN > Khẩu hao lũy kế,Khẩu hao lũy kế,,(436.905),(475.854),,-436905.0,-475854.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,16,211.951,159.801,16.0,211951.0,159801.0
Nguyên giá,TÀI SẢN > Nguyên giá,Nguyên giá,,598.485,495.306,,598485.0,495306.0
Hao mòn lũy kế,TÀI SẢN > Hao mòn lũy kế,Hao mòn lũy kế,,(386.534),(335.505),,-386534.0,-335505.0
