row_label_raw,row_label_full,col_0,Nợ đủ tiêu chuẩn triệu đồng,Nợ cần chú ý triệu đồng,Nợ dưới tiêu chuẩn triệu đồng,Nợ nghi ngờ năng mất vốn triệu đồng,Nợ có khả năng mất vốn triệu đồng,Tổng cộng triệu đồng,numeric__Nợ đủ tiêu chuẩn triệu đồng,numeric__Nợ cần chú ý triệu đồng,numeric__Nợ dưới tiêu chuẩn triệu đồng,numeric__Nợ nghi ngờ năng mất vốn triệu đồng,numeric__Nợ có khả năng mất vốn triệu đồng,numeric__Tổng cộng triệu đồng
Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,20.919.848,-,-,-,-,20.919.848,20919848.0,,,,,20919848.0
Cho vay các tổ chức tin dụng khác,Cho vay các tổ chức tin dụng khác,Cho vay các tổ chức tin dụng khác,9.879.960,-,-,-,-,9.879.960,9879960.0,,,,,9879960.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,115.094.794,1.597.284,594.919,418.640,1.005.109,118.710.746,115094794.0,1597284.0,594919.0,418640.0,1005109.0,118710746.0
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,-,-,-,-,383,383,,,,,383.0,383.0
"Chứng khoán nợ do các TCTD, TCKT trong nước phát hành","Chứng khoán nợ do các TCTD, TCKT trong nước phát hành","Chứng khoán nợ do các TCTD, TCKT trong nước phát hành",14.677.338,-,-,-,-,14.677.338,14677338.0,,,,,14677338.0
Tài sản có rủi ro tín dụng khác,Tài sản có rủi ro tín dụng khác,Tài sản có rủi ro tín dụng khác,2.481.159,-,-,-,-,2.481.159,2481159.0,,,,,2481159.0
Tổng cộng,Tổng cộng,Tổng cộng,163.053.099,1.597.284,594.919,418.640,1.005.492,166.669.434,163053099.0,1597284.0,594919.0,418640.0,1005492.0,166669434.0
