row_label_raw,row_label_full,col_0,1/1/2015Theo báo cáo trước đây VND,Định giá lại các khoản đầu tư tài chính VND,Các điều chỉnh khác VND,1/1/2015 Đã điều chỉnh lại VND,numeric__1/1/2015Theo báo cáo trước đây VND,numeric__Định giá lại các khoản đầu tư tài chính VND,numeric__Các điều chỉnh khác VND,numeric__1/1/2015 Đã điều chỉnh lại VND
Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,587.022.721.287,-,(587.022.721.287),-,587022721287.0,,-587022721287.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,31.668.726.240,31.668.726.240,,,31668726240.0,31668726240.0
Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,Đầu tư nằm giữ đến ngày đáo hạn – ngắn hạn,-,-,419.397.166.717,419.397.166.717,,,419397166717.0,419397166717.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,-,-,349.825.813.560,349.825.813.560,,,349825813560.0,349825813560.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,763.853.027.960,-,(125.046.178.177),638.806.849.783,763853027960.0,,-125046178177.0,638806849783.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,230.945.472.305,-,(69.983.122),230.875.489.183,230945472305.0,,-69983122.0,230875489183.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,30.648.915.861,-,(307.529.744),30.341.386.117,30648915861.0,,-307529744.0,30341386117.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,100.177.900.853,-,(87.541.091.924),12.636.808.929,100177900853.0,,-87541091924.0,12636808929.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,591.000.000,-,503.975.658.594,504.566.658.594,591000000.0,,503975658594.0,504566658594.0
Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,1.445.859.591.447,-,(1.929.038.857),1.443.930.552.590,1445859591447.0,,-1929038857.0,1443930552590.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,976.817.027.449,(7.996.284.920),(508.895.022.594),459.925.719.935,976817027449.0,-7996284920.0,-508895022594.0,459925719935.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(51.585.210.515),11.488.460.489,-,(40.096.750.026),-51585210515.0,11488460489.0,,-40096750026.0
Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,Đầu tư nằm giữ đến ngày đáo hạn – dài hạn,-,-,4.919.364.000,4.919.364.000,,,4919364000.0,4919364000.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,97.169.983.153,-,(4.048.499),97.165.934.654,97169983153.0,,-4048499.0,97165934654.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,211.504.636.856,-,(28.460.160.000),183.044.476.856,211504636856.0,,-28460160000.0,183044476856.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,-,-,9.495.875.465,9.495.875.465,,,9495875465.0,9495875465.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,1.017.599.148.343,-,(3.998.235.737),1.013.600.912.606,1017599148343.0,,-3998235737.0,1013600912606.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",129.900.455.110,-,(510.000.000),129.390.455.110,129900455110.0,,-510000000.0,129390455110.0
Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,-,-,28.460.160.000,28.460.160.000,,,28460160000.0,28460160000.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,85.861.992.751,422.123.160.961,(995.341.166),506.989.812.546,85861992751.0,422123160961.0,-995341166.0,506989812546.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,386.138.029.836,-,384.096.163.209,770.234.193.045,386138029836.0,,384096163209.0,770234193045.0
Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,(425.364.156),(418.630.985.392),(384.096.163.209),(803.152.512.757),-425364156.0,-418630985392.0,-384096163209.0,-803152512757.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,308.448.738.185,-,80.071.211.315,388.519.949.500,308448738185.0,,80071211315.0,388519949500.0
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,80.071.211.315,-,(80.071.211.315),-,80071211315.0,,-80071211315.0,
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,212.848.004.910,-,(5.013.086.657),207.834.918.253,212848004910.0,,-5013086657.0,207834918253.0
