row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tài sản khác VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,163.669.005.122,8.856.843.431,657.415.000,173.183.263.553,163669005122.0,8856843431.0,657415000.0,173183263553.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,3.789.704.084,-,3.789.704.084,,3789704084.0,,3789704084.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(502.139.500),-,-,(502.139.500),-502139500.0,,,-502139500.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,221.250.000,-,221.250.000,,221250000.0,,221250000.0
Giảm do mất quyền kiểm soát tại các công ty con,Nguyên giá > Giảm do mất quyền kiểm soát tại các công ty con,Giảm do mất quyền kiểm soát tại các công ty con,(36.028.096.714),(991.815.000),-,(37.019.911.714),-36028096714.0,-991815000.0,,-37019911714.0
Tăng do hợp nhất các công ty con mới trong năm,Nguyên giá > Tăng do hợp nhất các công ty con mới trong năm,Tăng do hợp nhất các công ty con mới trong năm,-,42.000.000,-,42.000.000,,42000000.0,,42000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,127.138.768.908,11.917.982.515,657.415.000,139.714.166.423,127138768908.0,11917982515.0,657415000.0,139714166423.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,14.808.110.881,6.698.599.402,577.979.074,22.084.689.357,14808110881.0,6698599402.0,577979074.0,22084689357.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.443.918.327,1.189.776.371,13.627.260,3.647.321.958,2443918327.0,1189776371.0,13627260.0,3647321958.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(48.922.613),-,-,(48.922.613),-48922613.0,,,-48922613.0
Giảm do mất quyền kiểm soát tại các công ty con,Giá trị hao mòn lũy kế > Giảm do mất quyền kiểm soát tại các công ty con,Giảm do mất quyền kiểm soát tại các công ty con,(972.456.856),(928.759.687),-,(1.901.216.543),-972456856.0,-928759687.0,,-1901216543.0
Tăng do hợp nhất các công ty con mới trong năm,Giá trị hao mòn lũy kế > Tăng do hợp nhất các công ty con mới trong năm,Tăng do hợp nhất các công ty con mới trong năm,-,42.000.000,-,42.000.000,,42000000.0,,42000000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,16.230.649.739,7.001.616.086,591.606.334,23.823.872.159,16230649739.0,7001616086.0,591606334.0,23823872159.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,148.860.894.241,2.158.244.029,79.435.926,151.098.574.196,148860894241.0,2158244029.0,79435926.0,151098574196.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,110.908.119.169,4.916.366.429,65.808.666,115.890.294.264,110908119169.0,4916366429.0,65808666.0,115890294264.0
