row_label_raw,row_label_full,col_0,Giá trị ghi sổ tại thời điểm mất quyền kiểm soát VND,numeric__Giá trị ghi sổ tại thời điểm mất quyền kiểm soát VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,155.080.603.475,155080603475.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,146.108.596.506,146108596506.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,837.402.459.072,837402459072.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,253.699.725.435,253699725435.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,26.348.775.773,26348775773.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,3.000.000,3000000.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,240.197.690.707,240197690707.0
Bắt động sản đầu tư,Bắt động sản đầu tư,Bắt động sản đầu tư,16.045.142.952,16045142952.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,127.727.285.278,127727285278.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,222.766.414.042,222766414042.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,174.441.173.430,174441173430.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,(766.222.524.831),-766222524831.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,(302.762.166.027),-302762166027.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,1.130.836.175.812,1130836175812.0
Ghi giảm lợi ích cổ đông không kiểm soát,Ghi giảm lợi ích cổ đông không kiểm soát,Ghi giảm lợi ích cổ đông không kiểm soát,(384.971.084.612),-384971084612.0
Phần sở hữu của cổ đông không kiểm soát trong giá phí khoản đầu tư của các công ty con cấp 1 vào công ty con cấp 2 tại ngày mất quyền kiểm soát,Phần sở hữu của cổ đông không kiểm soát trong giá phí khoản đầu tư của các công ty con cấp 1 vào công ty con cấp 2 tại ngày mất quyền kiểm soát,Phần sở hữu của cổ đông không kiểm soát trong giá phí khoản đầu tư của các công ty con cấp 1 vào công ty con cấp 2 tại ngày mất quyền kiểm soát,(76.894.786.080),-76894786080.0
Phần tài sản thuần thuộc Tập đoàn trước khi mất quyền kiểm soát,Phần tài sản thuần thuộc Tập đoàn trước khi mất quyền kiểm soát,Phần tài sản thuần thuộc Tập đoàn trước khi mất quyền kiểm soát,668.970.305.120,668970305120.0
Lợi thế thương mại chưa được phân bổ tại ngày mất quyền kiểm soát,Lợi thế thương mại chưa được phân bổ tại ngày mất quyền kiểm soát,Lợi thế thương mại chưa được phân bổ tại ngày mất quyền kiểm soát,3.386.651.399,3386651399.0
Khoản chênh lệch tăng khi xác định lại giá trị khoản đầu tư của Tập đoàn Đệt May Việt Nam vào công ty con cho mục đích cổ phần hóa,Khoản chênh lệch tăng khi xác định lại giá trị khoản đầu tư của Tập đoàn Đệt May Việt Nam vào công ty con cho mục đích cổ phần hóa,Khoản chênh lệch tăng khi xác định lại giá trị khoản đầu tư của Tập đoàn Đệt May Việt Nam vào công ty con cho mục đích cổ phần hóa,54.386.931.715,54386931715.0
Lãi thuần do mất quyền kiểm soát tại công ty con,Lãi thuần do mất quyền kiểm soát tại công ty con,Lãi thuần do mất quyền kiểm soát tại công ty con,17.090.303.083,17090303083.0
Giá thanh lý,Giá thanh lý,Giá thanh lý,743.834.191.317,743834191317.0
Phần sở hữu của Tập đoàn trong giá phí khoản đầu tư của các công ty con cấp 1 vào công ty con cấp 2 tại ngày mất quyền kiểm soát,Phần sở hữu của Tập đoàn trong giá phí khoản đầu tư của các công ty con cấp 1 vào công ty con cấp 2 tại ngày mất quyền kiểm soát,Phần sở hữu của Tập đoàn trong giá phí khoản đầu tư của các công ty con cấp 1 vào công ty con cấp 2 tại ngày mất quyền kiểm soát,(25.119.436.523),-25119436523.0
Phần tài sản thuần thuộc Tập đoàn sau khi mất quyền kiểm soát,Phần tài sản thuần thuộc Tập đoàn sau khi mất quyền kiểm soát,Phần tài sản thuần thuộc Tập đoàn sau khi mất quyền kiểm soát,(113.348.901.096),-113348901096.0
Khoản tiền đã nhận đặt cọc trong năm trước liên quan đến việc chuyển nhượng vốn tại công ty con,Khoản tiền đã nhận đặt cọc trong năm trước liên quan đến việc chuyển nhượng vốn tại công ty con,Khoản tiền đã nhận đặt cọc trong năm trước liên quan đến việc chuyển nhượng vốn tại công ty con,(219.208.552.560),-219208552560.0
Tiền thu được từ thoái vốn,Tiền thu được từ thoái vốn,Tiền thu được từ thoái vốn,386.157.301.138,386157301138.0
Khoản tiền giảm do mất quyền kiểm soát tại công ty con,Khoản tiền giảm do mất quyền kiểm soát tại công ty con,Khoản tiền giảm do mất quyền kiểm soát tại công ty con,(155.080.603.475),-155080603475.0
Khoản tiền thuần thu được do mất quyền kiểm soát tại công ty con,Khoản tiền thuần thu được do mất quyền kiểm soát tại công ty con,Khoản tiền thuần thu được do mất quyền kiểm soát tại công ty con,231.076.697.663,231076697663.0
