row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tài sản khác VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản khác VND,numeric__Tổng VND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,857.276.796.465,3.571.369.641.779,134.847.105.407,37.505.622.095,33.302.272.497,4.634.301.438.243,857276796465.0,3571369641779.0,134847105407.0,37505622095.0,33302272497.0,4634301438243.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,113.337.821.032,396.542.498.944,24.009.064.204,6.777.605.838,11.385.283.567,552.052.273.585,113337821032.0,396542498944.0,24009064204.0,6777605838.0,11385283567.0,552052273585.0
Tăng do hợp nhất các công ty con mới trong năm,Giá trị hao mòn lũy kế > Tăng do hợp nhất các công ty con mới trong năm,Tăng do hợp nhất các công ty con mới trong năm,868.568.906,58.592.806.907,1.431.420.508,54.047.531,-,60.946.843.852,868568906.0,58592806907.0,1431420508.0,54047531.0,,60946843852.0
"Chuyển sang công cụ, dụng cụ","Giá trị hao mòn lũy kế > Chuyển sang công cụ, dụng cụ","Chuyển sang công cụ, dụng cụ",-,(4.528.511.206),-,-,-,(4.528.511.206),,-4528511206.0,,,,-4528511206.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(28.679.717.203),(113.408.711.104),(5.880.050.937),(392.316.303),(642.628.390),(149.003.423.937),-28679717203.0,-113408711104.0,-5880050937.0,-392316303.0,-642628390.0,-149003423937.0
Giảm do mất quyền kiểm soát tại các công ty con,Giá trị hao mòn lũy kế > Giảm do mất quyền kiểm soát tại các công ty con,Giảm do mất quyền kiểm soát tại các công ty con,(30.616.551.478),(68.470.154.253),(9.878.070.049),(4.052.203.154),(23.636.364),(113.040.615.298),-30616551478.0,-68470154253.0,-9878070049.0,-4052203154.0,-23636364.0,-113040615298.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(5.682.668.625),(2.652.829.380),-,(28.180),8.335.526.185,-,-5682668625.0,-2652829380.0,,-28180.0,8335526185.0,
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,-,(3.029.075.113),-,-,(14.537.936),(3.043.613.049),,-3029075113.0,,,-14537936.0,-3043613049.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,906.504.249.097,3.834.415.666.574,144.529.469.133,39.892.727.827,52.342.279.559,4.977.684.392.190,906504249097.0,3834415666574.0,144529469133.0,39892727827.0,52342279559.0,4977684392190.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.750.172.737.835,2.515.130.876.688,102.721.729.028,33.782.461.201,45.888.602.433,4.447.696.407.185,1750172737835.0,2515130876688.0,102721729028.0,33782461201.0,45888602433.0,4447696407185.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.772.397.073.372,2.556.993.398.555,122.004.891.631,25.921.452.427,69.975.601.370,4.547.292.417.355,1772397073372.0,2556993398555.0,122004891631.0,25921452427.0,69975601370.0,4547292417355.0
