row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2015 VND,2014 VND,numeric__Mã số,numeric__Thuyết minh,numeric__2015 VND,numeric__2014 VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Lợi nhuận trước thuế,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,,627.261.336.353,530.296.612.207,1.0,,627261336353.0,530296612207.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,,,,
Khấu hao và phân bổ,Điều chỉnh cho các khoản > Khấu hao và phân bổ,Khấu hao và phân bổ,02,,585.663.173.305,477.560.905.056,2.0,,585663173305.0,477560905056.0
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,,142.437.387.116,78.118.829.762,3.0,,142437387116.0,78118829762.0
Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Điều chỉnh cho các khoản > Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,,56.008.761.043,8.872.646.069,4.0,,56008761043.0,8872646069.0
Lãi từ hoạt động đầu tư,Điều chỉnh cho các khoản > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,,(725.593.824.363),(546.024.913.649),5.0,,-725593824363.0,-546024913649.0
Chi phí lãi vay,Điều chỉnh cho các khoản > Chi phí lãi vay,Chi phí lãi vay,06,,354.284.173.973,275.969.528.569,6.0,,354284173973.0,275969528569.0
Lãi từ giao dịch mua giá rè do hợp nhất các công ty con mới trong năm,Điều chỉnh cho các khoản > Lãi từ giao dịch mua giá rè do hợp nhất các công ty con mới trong năm,Lãi từ giao dịch mua giá rè do hợp nhất các công ty con mới trong năm,07,,-,(64.078.039.811),7.0,,,-64078039811.0
Nợ phải trả được điều chỉnh giảm,Điều chỉnh cho các khoản > Nợ phải trả được điều chỉnh giảm,Nợ phải trả được điều chỉnh giảm,07,,(11.516.222.447),(50.515.081.265),7.0,,-11516222447.0,-50515081265.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,,1.028.544.784.980,710.200.486.938,8.0,,1028544784980.0,710200486938.0
Biến động các khoản phải thu và tài sản khác,Điều chỉnh cho các khoản > Biến động các khoản phải thu và tài sản khác,Biến động các khoản phải thu và tài sản khác,09,,(652.187.055.984),710.875.546.068,9.0,,-652187055984.0,710875546068.0
Biến động hàng tồn kho,Điều chỉnh cho các khoản > Biến động hàng tồn kho,Biến động hàng tồn kho,10,,(204.208.392.096),(170.335.490.484),10.0,,-204208392096.0,-170335490484.0
Biến động các khoản phải trả và nợ phải trả khác,Điều chỉnh cho các khoản > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,,502.878.008.791,(599.167.261.895),11.0,,502878008791.0,-599167261895.0
Biến động chí phí trả trước,Điều chỉnh cho các khoản > Biến động chí phí trả trước,Biến động chí phí trả trước,12,,(85.430.154.028),21.248.599.806,12.0,,-85430154028.0,21248599806.0
Biến động chứng khoán kinh doanh,Điều chỉnh cho các khoản > Biến động chứng khoán kinh doanh,Biến động chứng khoán kinh doanh,13,,22.102.232.451,-,13.0,,22102232451.0,
,,,,,611.699.424.114,672.821.880.433,,,611699424114.0,672821880433.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(351.551.603.421),(239.129.544.003),14.0,,-351551603421.0,-239129544003.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(60.637.314.396),(58.479.739.137),15.0,,-60637314396.0,-58479739137.0
Tiền thu khác từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,,521.621.957.265,2.551.814.332.013,16.0,,521621957265.0,2551814332013.0
Tiền chi khác cho hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(474.794.857.961),(1.858.528.190.464),17.0,,-474794857961.0,-1858528190464.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,246.337.605.601,1.068.498.738.842,20.0,,246337605601.0,1068498738842.0
