row_label_raw,row_label_full,col_0,1/1/2015VNDĐã điều chỉnh lại,Số phải nộp trong năm VND,Số đã nộp/bù trừ trong năm VND,Giảm do mất quyền kiểm soát tại các công ty con VND,31/12/2015VND,numeric__1/1/2015VNDĐã điều chỉnh lại,numeric__Số phải nộp trong năm VND,numeric__Số đã nộp/bù trừ trong năm VND,numeric__Giảm do mất quyền kiểm soát tại các công ty con VND,numeric__31/12/2015VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,,
Thuế giá trị gia tăng,Thuế > Thuế giá trị gia tăng,Thuế giá trị gia tăng,29.467.134.946,261.364.658.583,(265.949.727.939),(2.198.069.039),22.683.996.551,29467134946.0,261364658583.0,-265949727939.0,-2198069039.0,22683996551.0
Thuế xuất nhập khẩu,Thuế > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,2.146.199.898,25.340.652.757,(24.316.712.781),-,3.170.139.874,2146199898.0,25340652757.0,-24316712781.0,,3170139874.0
Thuế thu nhập doanh nghiệp,Thuế > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,16.053.478.020,64.756.757.475,(63.400.619.085),(342.934.415),17.066.681.995,16053478020.0,64756757475.0,-63400619085.0,-342934415.0,17066681995.0
Thuế thu nhập cá nhân,Thuế > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,4.244.343.732,34.876.357.868,(28.729.147.432),(388.802.973),10.002.751.195,4244343732.0,34876357868.0,-28729147432.0,-388802973.0,10002751195.0
Thuế tài nguyên,Thuế > Thuế tài nguyên,Thuế tài nguyên,84.286.602,517.912.459,(537.963.525),-,64.235.536,84286602.0,517912459.0,-537963525.0,,64235536.0
Thuế nhà đất,Thuế > Thuế nhà đất,Thuế nhà đất,14.563.350.000,36.107.162.408,(27.310.298.389),-,23.360.214.019,14563350000.0,36107162408.0,-27310298389.0,,23360214019.0
Tiền thuê đất,Thuế > Tiền thuê đất,Tiền thuê đất,29.378.724.776,45.593.079.577,(53.680.732.747),-,21.291.071.606,29378724776.0,45593079577.0,-53680732747.0,,21291071606.0
Các loại thuế khác,Thuế > Các loại thuế khác,Các loại thuế khác,1.052.148.565,8.789.311.344,(5.674.223.619),-,4.167.236.290,1052148565.0,8789311344.0,-5674223619.0,,4167236290.0
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,,,,,
Các khoản khác,Các khoản phải nộp khác > Các khoản khác,Các khoản khác,176.268.115,94.353.875,(108.799.349),-,161.822.641,176268115.0,94353875.0,-108799349.0,,161822641.0
,,,97.165.934.654,477.440.246.346,(469.708.224.866),(2.929.806.427),101.968.149.707,97165934654.0,477440246346.0,-469708224866.0,-2929806427.0,101968149707.0
