row_label_raw,row_label_full,col_0,Chi phí trước hoạt động VND,Chi phí đất trả trước VND,"Chi phí thuê văn phòng, nhà máy trả trước VND","Công cụ, dụng cụ VND",Lợi thế kinh doanh VND,Phụ tùng thay thế VND,Chi phí sửa chữa lớn tài sản cố định VND,Chi phí trả trước dài hạn khác VND,Tổng VND,numeric__Chi phí trước hoạt động VND,numeric__Chi phí đất trả trước VND,"numeric__Chi phí thuê văn phòng, nhà máy trả trước VND","numeric__Công cụ, dụng cụ VND",numeric__Lợi thế kinh doanh VND,numeric__Phụ tùng thay thế VND,numeric__Chi phí sửa chữa lớn tài sản cố định VND,numeric__Chi phí trả trước dài hạn khác VND,numeric__Tổng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,13.821.571.689,189.475.452.708,38.458.054.111,88.094.410.655,5.872.894.239,6.988.598.779,75.013.220.371,44.015.237.383,461.739.439.935,13821571689.0,189475452708.0,38458054111.0,88094410655.0,5872894239.0,6988598779.0,75013220371.0,44015237383.0,461739439935.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,5.570.589.345,51.847.363.035,96.595.533.458,-,8.888.827.472,8.230.058.726,27.933.591.725,199.065.963.761,,5570589345.0,51847363035.0,96595533458.0,,8888827472.0,8230058726.0,27933591725.0,199065963761.0
Chuyên từ xây dựng cơ bản đồ dang,Chuyên từ xây dựng cơ bản đồ dang,Chuyên từ xây dựng cơ bản đồ dang,-,-,-,43.993.353.522,-,-,-,1.081.464.879,45.074.818.401,,,,43993353522.0,,,,1081464879.0,45074818401.0
Tăng do hợp nhất các công ty con môi trong năm,Tăng do hợp nhất các công ty con môi trong năm,Tăng do hợp nhất các công ty con môi trong năm,-,22.391.120.572,-,-,-,-,-,83.385.979,22.474.506.551,,22391120572.0,,,,,,83385979.0,22474506551.0
Thanh lý,Thanh lý,Thanh lý,-,-,-,(794.045.364),-,-,-,-,(794.045.364),,,,-794045364.0,,,,,-794045364.0
Giảm do mất quyền kiểm soát tai các công ty con,Giảm do mất quyền kiểm soát tai các công ty con,Giảm do mất quyền kiểm soát tai các công ty con,-,(4.978.654.735),(31.669.590.176),(19.768.385.076),-,-,(61.484.526.318),(21.632.508.818),(139.533.665.123),,-4978654735.0,-31669590176.0,-19768385076.0,,,-61484526318.0,-21632508818.0,-139533665123.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(4.176.066.995),(11.636.035.936),(18.413.791.521),(58.453.438.015),(1.957.631.414),(4.769.362.842),(4.238.765.368),(25.903.074.540),(129.548.166.631),-4176066995.0,-11636035936.0,-18413791521.0,-58453438015.0,-1957631414.0,-4769362842.0,-4238765368.0,-25903074540.0,-129548166631.0
Phân loại lại,Phân loại lại,Phân loại lại,-,-,-,91.527.360,-,(257.555.731),(56.761.108),222.789.479,-,,,,91527360.0,,-257555731.0,-56761108.0,222789479.0,
Biên động khác,Biên động khác,Biên động khác,-,-,-,296.907.161,-,-,-,2.433.824.195,2.730.731.356,,,,296907161.0,,,,2433824195.0,2730731356.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,9.645.504.694,200.822.471.954,40.222.035.449,150.055.863.701,3.915.262.825,10.850.507.678,17.463.226.303,28.234.710.282,461.209.582.886,9645504694.0,200822471954.0,40222035449.0,150055863701.0,3915262825.0,10850507678.0,17463226303.0,28234710282.0,461209582886.0
