row_label_raw,row_label_full,col_0,Vốn góp VND,Thặng dư vốn cổ phần VND,Vốn khác VND,Chênh lệch đánh giá lại tài sản VND,Quỹ đầu tư phát triển VND,Quỹ dự phòng tải chính VND,Quỹ hỗ trợ sắp xếp doanh nghiệp VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Nguồn vốn đầu tư xây dựng cơ bản VND,Cổ đông không kiểm soát VND,Tổng cộng vốn chủ sở hữu VND,Nguồn kinh phí sự nghiệp VND,Tổng VND,numeric__Vốn góp VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác VND,numeric__Chênh lệch đánh giá lại tài sản VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ dự phòng tải chính VND,numeric__Quỹ hỗ trợ sắp xếp doanh nghiệp VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Nguồn vốn đầu tư xây dựng cơ bản VND,numeric__Cổ đông không kiểm soát VND,numeric__Tổng cộng vốn chủ sở hữu VND,numeric__Nguồn kinh phí sự nghiệp VND,numeric__Tổng VND
Số dư tại ngày 1/1/2014,Số dư tại ngày 1/1/2014,Số dư tại ngày 1/1/2014,4.285.655.300.181,,- (352.215.444.819),(425.364.156),523.606.558.474,77.131.726.516,18.964.022.745,10.087.677.101,355.089.501.720,2.760.607.380,716.528.611.964,5.637.183.197.106,43.141.090.195,5.680.324.287.301,4285655300181.0,,,-425364156.0,523606558474.0,77131726516.0,18964022745.0,10087677101.0,355089501720.0,2760607380.0,716528611964.0,5637183197106.0,43141090195.0,5680324287301.0
Tăng vốn góp do Ngân sách Nhà nước cấp vốn cho một công ty con,Tăng vốn góp do Ngân sách Nhà nước cấp vốn cho một công ty con,Tăng vốn góp do Ngân sách Nhà nước cấp vốn cho một công ty con,14.787.838.706,,,,,,,,,,,14.787.838.706,,14.787.838.706,14787838706.0,,,,,,,,,,,14787838706.0,,14787838706.0
Vốn góp,Vốn góp,Vốn góp,,,,,,,,,,,42.157.000.000(363.222.262),42.157.000.000(986.296.929),,42.157.000.000(986.296.929),,,,,,,,,,,,,,
Biên động thuần của cổ phiếu quỹ,Vốn góp > Biên động thuần của cổ phiếu quỹ,Biên động thuần của cổ phiếu quỹ,,,- (623.074.667),,,,,,,,,730.315.739.393,,730.315.739.393,,,,,,,,,,,,730315739393.0,,730315739393.0
Vốn phát hành thêm để cổ phần hóa,Vốn góp > Vốn phát hành thêm để cổ phần hóa,Vốn phát hành thêm để cổ phần hóa,,,- 730.315.739.393,,,,,,,,,,,,,,-730315739393.0,,,,,,,,,,,
Ngườn kinh phí nhân tử,Vốn góp > Ngườn kinh phí nhân tử,Ngườn kinh phí nhân tử,,,,,,,,,,,495.422.334,495.422.334,1.332.789.679,1.828.212.013,,,,,,,,,,,495422334.0,495422334.0,1332789679.0,1828212013.0
Ngân sách Nhà nước,Ngân sách Nhà nước,Ngân sách Nhà nước,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Điều chuyển vốn/các quỹ,Ngân sách Nhà nước > Điều chuyển vốn/các quỹ,Điều chuyển vốn/các quỹ,,,,,1.482.977.152,(1.482.977.152),,,,,152.794.376.495(40.148.133.270),464.584.292.315(40.148.133.270),,464.584.292.315(40.148.133.270),,,,,1482977152.0,-1482977152.0,,,,,,,,
Lợi nhuận thuần trong năm,Ngân sách Nhà nước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,,,,,,,,,311.789.915.820,,,,,,,,,,,,,,311789915820.0,,,,,
Cổ tức,Cổ tức,Cổ tức,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Cổ tức > Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",,,,,,,,,(65.706.131.243),,(13.646.300.286),(79.352.431.529),,(79.352.431.529),,,,,,,,,-65706131243.0,,-13646300286.0,-79352431529.0,,-79352431529.0
Phân bổ vào các quỹ,Cổ tức > Phân bổ vào các quỹ,Phân bổ vào các quỹ,,,,,87.901.337.804,4.895.436.269,,776.514.009,(93.573.288.082),,(2.219.057.797),(9.583.689.997),(1.119.779.423),(10.703.469.420),,,,,87901337804.0,4895436269.0,,776514009.0,-93573288082.0,,-2219057797.0,-9583689997.0,-1119779423.0,-10703469420.0
Sử dụng các quỹ,Cổ tức > Sử dụng các quỹ,Sử dụng các quỹ,,,,,(5.458.508.565),(323.866.689),(1.582.256.946),,,,,(111.522.692.784),,(111.522.692.784),,,,,-5458508565.0,-323866689.0,-1582256946.0,,,,,-111522692784.0,,-111522692784.0
Nộp ngắn sách nhà nước,Cổ tức > Nộp ngắn sách nhà nước,Nộp ngắn sách nhà nước,,,,,,,,,(111.522.692.784),,,,,,,,,,,,,,-111522692784.0,,,,,
