row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tài sản khác VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.607.449.534.300,6.086.500.518.467,237.568.834.435,71.288.083.296,79.190.874.930,9.081.997.845.428,2607449534300.0,6086500518467.0,237568834435.0,71288083296.0,79190874930.0,9081997845428.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,28.361.363.485,232.045.733.116,41.575.378.388,3.851.251.902,10.356.954.821,316.190.681.712,28361363485.0,232045733116.0,41575378388.0,3851251902.0,10356954821.0,316190681712.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,211.184.413.769,356.527.581.215,9.767.135.886,32.429.500,21.593.855.693,599.105.416.063,211184413769.0,356527581215.0,9767135886.0,32429500.0,21593855693.0,599105416063.0
Tăng do hợp nhất các công ty con mới trong năm,Nguyên giá > Tăng do hợp nhất các công ty con mới trong năm,Tăng do hợp nhất các công ty con mới trong năm,65.819.915.443,102.425.588.416,2.670.462.000,200.894.090,-,171.116.859.949,65819915443.0,102425588416.0,2670462000.0,200894090.0,,171116859949.0
Nhận góp vốn bằng tài sản cố định,Nguyên giá > Nhận góp vốn bằng tài sản cố định,Nhận góp vốn bằng tài sản cố định,-,3.160.342.989,-,-,1.555.307.878,4.715.650.867,,3160342989.0,,,1555307878.0,4715650867.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(45.947.749.996),-,-,-,-,(45.947.749.996),-45947749996.0,,,,,-45947749996.0
"Chuyển sang công cụ, dụng cụ","Nguyên giá > Chuyển sang công cụ, dụng cụ","Chuyển sang công cụ, dụng cụ",-,(4.529.195.782),-,-,-,(4.529.195.782),,-4529195782.0,,,,-4529195782.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(34.459.132.057),(231.544.177.635),(7.644.622.265),(407.721.473),(747.555.580),(274.803.209.010),-34459132057.0,-231544177635.0,-7644622265.0,-407721473.0,-747555580.0,-274803209010.0
Giảm do mất quyền kiểm soát tại các công ty con,Nguyên giá > Giảm do mất quyền kiểm soát tại các công ty con,Giảm do mất quyền kiểm soát tại các công ty con,(146.639.329.284),(145.650.139.992),(16.105.725.424),(9.700.779.770),(23.636.364),(318.119.610.834),-146639329284.0,-145650139992.0,-16105725424.0,-9700779770.0,-23636364.0,-318119610834.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(6.867.693.191),(2.886.341.358),(1.297.102.256),550.022.709,10.501.114.096,-,-6867693191.0,-2886341358.0,-1297102256.0,550022709.0,10501114096.0,
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,-,(4.640.844.307),-,-,(109.034.545),(4.749.878.852),,-4640844307.0,,,-109034545.0,-4749878852.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.678.901.322.469,6.391.409.065.129,266.534.360.764,65.814.180.254,122.317.880.929,9.524.976.809.545,2678901322469.0,6391409065129.0,266534360764.0,65814180254.0,122317880929.0,9524976809545.0
