row_label_raw,row_label_full,col_0,Vốn góp VND,Thăng dư vốn cổ phần VND,Vốn khác VND,Chênh lệch đánh giá lại tài sản VND,Quỹ đầu tư phát triển VND,Quỹ dự phòng tải chính VND,Quỹ hỗ trợ sáp xếp doanh nghiệp VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Nguồn vốn đầu tư xây dựng cơ bản VND,Cổ đông không kiểm soát VND,Tổng cộng vốn chủ sở hữu VND,Nguồn kinh phí sự nghiệp VND,Tổng VND,numeric__Vốn góp VND,numeric__Thăng dư vốn cổ phần VND,numeric__Vốn khác VND,numeric__Chênh lệch đánh giá lại tài sản VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ dự phòng tải chính VND,numeric__Quỹ hỗ trợ sáp xếp doanh nghiệp VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Nguồn vốn đầu tư xây dựng cơ bản VND,numeric__Cổ đông không kiểm soát VND,numeric__Tổng cộng vốn chủ sở hữu VND,numeric__Nguồn kinh phí sự nghiệp VND,numeric__Tổng VND
Số dư tại ngày 1/1/2015 - đã điều chỉnh lại,Số dư tại ngày 1/1/2015 - đã điều chỉnh lại,Số dư tại ngày 1/1/2015 - đã điều chỉnh lại,4 299 595 911.499,,770 234 193 045,(803 152.512 757),388 519 949 500,,,10 735 145 017,207.834 918.253,2 760 607 380,1 612 907.276 735,6 489 435.488 672,43 125 910 033,6 532 561.398 705,,,,,,,,,,,,,,
Vốn góp,Vốn góp,Vốn góp,,,,,,,,,,,44 737 415 558,44 737 415 558,,44 737 415 558,,,,,,,,,,,,,,
Biên động thuần của cỏ phiếu quỹ,Biên động thuần của cỏ phiếu quỹ,Biên động thuần của cỏ phiếu quỹ,,,,,,,,,,,10 707 507 646,10 707 507 646,,10 707 507 646,,,,,,,,,,,,,,
Ngườn sách Nhà nước,Ngườn sách Nhà nước,Ngườn sách Nhà nước,,,,,,,,,,494 591 729 182,,494 591 729 182,5 411 295 336,500 003 024 518,,,,,,,,,,,,,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,,,,,,,,,382.184 634.187,,149 774 774.136,531.959 408.323,,531.959 408.323,,,,,,,,,,,,,,
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,,,,29 317.611 379,,,358.315 136,(29 675 926 515),,,,,,,,,,,,,,,,,,,,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào các quỹ > Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",,,,,,,,(30 667 315 831),,(21 639.969 807),(52.307.285.638),,(52.307.285 638),,,,,,,,,,,,-52307285638.0,,,
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,,,,(167 442.705),,,(200 890 136),,,(3 505 414.792),(3 873 747 633),(7 108 581 934),(10 982 329 567),,,,,,,,,,,,,,,
Cổ tức,Cổ tức,Cổ tức,,,,,,,,,,(102 500 791.652),(102 500 791.652),,(102 500 791.652),,,,,,,,,,,,,,,
Điều chuyển tăng vốn công ty cổ phần,Cổ tức > Điều chuyển tăng vốn công ty cổ phần,Điều chuyển tăng vốn công ty cổ phần,700.404.088 501,29 911 650 892,(730.315 739.393),,,,,,,71 763.389.445,71.763.389.445,,71 763.389.445,,,,,,,,,,,,71763389445.0,,,
Tăng do hợp nhất các công ty con mồi trong năm,Tăng do hợp nhất các công ty con mồi trong năm,Tăng do hợp nhất các công ty con mồi trong năm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phân số hữu của cỏ động thiếu số trong giá phí khoản đầu tư vào các công ty con cấp 2,Phân số hữu của cỏ động thiếu số trong giá phí khoản đầu tư vào các công ty con cấp 2,Phân số hữu của cỏ động thiếu số trong giá phí khoản đầu tư vào các công ty con cấp 2,,,,,,,,,,(13 854 265.616),(13 854 265.616),,(13 854.265.616),,,,,,,,,,,,,,,
Giảm do mất quyền kiểm soát tại công ty con,Phân số hữu của cỏ động thiếu số trong giá phí khoản đầu tư vào các công ty con cấp 2 > Giảm do mất quyền kiểm soát tại công ty con,Giảm do mất quyền kiểm soát tại công ty con,,,54.386.931.715,,,,,,(384.971.084 612),(330 584.152.897),,(330 584.152.897),,,,,54386931715.0,,,,,,,,,,,
Chênh lệch phát sinh khi Tập đoàn giảm ty lệ số hữu tại một công ty con nhưng không thay đổi quyền kiểm soát đối với công ty con này,Chênh lệch phát sinh khi Tập đoàn giảm ty lệ số hữu tại một công ty con nhưng không thay đổi quyền kiểm soát đối với công ty con này,Chênh lệch phát sinh khi Tập đoàn giảm ty lệ số hữu tại một công ty con nhưng không thay đổi quyền kiểm soát đối với công ty con này,,,,,,,,30.103 980.188,,110.496.819 812,140 600 800 000,,140 600 800 000,,,,,,,,,,,,,,,
Các biến động khác về vốn chủ sở hữu,Các biến động khác về vốn chủ sở hữu,Các biến động khác về vốn chủ sở hữu,,,2.330 177.087,,3 350.884 224,,51.782 350,3.705 974 644,,1 368.385 118,10.807.203 423,,10.807 203 423,,,,,,,,,,,,,,,
Số dư tại ngày 31/12/2015,Các biến động khác về vốn chủ sở hữu > Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,5.000 000.000.000,29 911 650 892,42.248 630.739,(748.765.581 042),421.021.002.398,,10.944.352 367,563 486 264.926,497 352 336.562,1.475.284 041.971,7 291.482.698 813,41 428 623.435,7 332.911 322.248,,,,,,421021002398.0,,,,,,,,,
