row_label_raw,row_label_full,col_0,1/1/2015VNDĐã điều chỉnh lại,Số phải thu trong năm VND,Số đã được hoàn/ bù trừ trong năm VND,Giảm do mất quyền kiểm soát tại các công ty con VND,31/12/2015VND,numeric__1/1/2015VNDĐã điều chỉnh lại,numeric__Số phải thu trong năm VND,numeric__Số đã được hoàn/ bù trừ trong năm VND,numeric__Giảm do mất quyền kiểm soát tại các công ty con VND,numeric__31/12/2015VND
Các khoản thuế đã nộp cho Nhà nước sẽ được hoàn lại,Các khoản thuế đã nộp cho Nhà nước sẽ được hoàn lại,Các khoản thuế đã nộp cho Nhà nước sẽ được hoàn lại,Các khoản thuế đã nộp cho Nhà nước sẽ được hoàn lại,Các khoản thuế đã nộp cho Nhà nước sẽ được hoàn lại,Các khoản thuế đã nộp cho Nhà nước sẽ được hoàn lại,Các khoản thuế đã nộp cho Nhà nước sẽ được hoàn lại,Các khoản thuế đã nộp cho Nhà nước sẽ được hoàn lại,,,,,
Thuế thu nhập doanh nghiệp,Các khoản thuế đã nộp cho Nhà nước sẽ được hoàn lại > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,11.580.594.781,-,(2.763.304.689),(3.870.841.580),4.946.448.512,11580594781.0,,-2763304689.0,-3870841580.0,4946448512.0
Thuế xuất nhập khẩu,Các khoản thuế đã nộp cho Nhà nước sẽ được hoàn lại > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,6.712.754.084,27.522.406.275,(27.359.184.901),(721.640.476),6.154.334.982,6712754084.0,27522406275.0,-27359184901.0,-721640476.0,6154334982.0
Thuế nhà đất,Các khoản thuế đã nộp cho Nhà nước sẽ được hoàn lại > Thuế nhà đất,Thuế nhà đất,-,306.216.500,(306.216.500),-,-,,306216500.0,-306216500.0,,
Các loại thuế khác,Các khoản thuế đã nộp cho Nhà nước sẽ được hoàn lại > Các loại thuế khác,Các loại thuế khác,4.470.217.234,24.954.232.199,(27.815.252.844),-,1.609.196.589,4470217234.0,24954232199.0,-27815252844.0,,1609196589.0
Các khoản khác phải thu Nhà nước,Các khoản khác phải thu Nhà nước,Các khoản khác phải thu Nhà nước,Các khoản khác phải thu Nhà nước,Các khoản khác phải thu Nhà nước,Các khoản khác phải thu Nhà nước,Các khoản khác phải thu Nhà nước,Các khoản khác phải thu Nhà nước,,,,,
Các khoản khác,Các khoản khác phải thu Nhà nước > Các khoản khác,Các khoản khác,7.577.820.018,1.032.222.393,(2.516.842.315),(4.423.545.202),1.669.654.894,7577820018.0,1032222393.0,-2516842315.0,-4423545202.0,1669654894.0
,,,30.341.386.117,53.815.077.367,(60.760.801.249),(9.016.027.258),14.379.634.977,30341386117.0,53815077367.0,-60760801249.0,-9016027258.0,14379634977.0
