row_label_raw,row_label_full,col_0,Công nghiệp đặt may,Công nghiệp đặt may_1,"Xuất khẩu, nhập khẩu và kinh doanh thương mại","Xuất khẩu, nhập khẩu và kinh doanh thương mại_1",Kinh doanh tài chính,Kinh doanh tài chính_1,Các hoạt động khác,Các hoạt động khác_1,Loại trừ,Loại trừ_1,Hợp nhất,Hợp nhất_1,numeric__Công nghiệp đặt may,numeric__Công nghiệp đặt may_1,"numeric__Xuất khẩu, nhập khẩu và kinh doanh thương mại","numeric__Xuất khẩu, nhập khẩu và kinh doanh thương mại_1",numeric__Kinh doanh tài chính,numeric__Kinh doanh tài chính_1,numeric__Các hoạt động khác,numeric__Các hoạt động khác_1,numeric__Loại trừ,numeric__Loại trừ_1,numeric__Hợp nhất,numeric__Hợp nhất_1
,,,31/12/2015VND,1/1/2015VNDĐã điều chỉnh lại,31/12/2015VND,1/1/2015VNDĐã điều chỉnh lại,31/12/2015VND,1/1/2015VNDĐã điều chỉnh lại,31/12/2015VND,1/1/2015VNDĐã điều chỉnh lại,31/12/2015VND,1/1/2015VNDĐã điều chỉnh lại,31/12/2015VND,1/1/2015VNDĐã điều chỉnh lại,,,,,,,,,,,,
Tài san của bộ phầnKhoản đầu tư vào công ty liên kết,Tài san của bộ phầnKhoản đầu tư vào công ty liên kết,Tài san của bộ phầnKhoản đầu tư vào công ty liên kết,17 832 356.096.959,17.127.366.937.434,1 012 826 749 528,1.457 262.950 202,-,687.056.001.367,2.403.807.055.671,1.926.548.200.765,(4.087.167.336.319),(4.861.250.768.951),17.161.822.565.839,16.336.983.320.817,,17127366937434.0,,,,687056001367.0,2403807055671.0,1926548200765.0,-4087167336319.0,-4861250768951.0,17161822565839.0,16336983320817.0
Tài san của bộ phầnKhoản đầu tư vào công ty liên kết,Tài san của bộ phầnKhoản đầu tư vào công ty liên kết,Tài san của bộ phầnKhoản đầu tư vào công ty liên kết,1.544 370 146.634,1.383.471.237.739,28.089.720.000,412.560.000,-,-,307.875.000,88.700.000.000,75.913.292.817,(28.653.245.149),1.648.681.034.451,1.443.930.552.590,,1383471237739.0,28089720000.0,412560000.0,,,307875000.0,88700000000.0,75913292817.0,-28653245149.0,1648681034451.0,1443930552590.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,19.376.726.243.593,18.510.838.175.173,1.040 916.469.528,1.457 675.510.202,-,687.056.001.367,2.404 114.930.671,2.015.248.200.765,(4.011.254.043.502),(4.889.904.014.100),18.810.503.600.290,17.780.913.873.407,19376726243593.0,18510838175173.0,,,,687056001367.0,,2015248200765.0,-4011254043502.0,-4889904014100.0,18810503600290.0,17780913873407.0
Tổng nợ phải tra,Tổng nợ phải tra,Tổng nợ phải tra,10.022.097.667.559,10.554.198.738.766,1.284.815.706.866,1.277.543.567.275,-,97.322.353.715,1.796.090.116.611,1.382.699.504.151,(1.625.411.212.994),(2.063.411.689.205),11.477.592.278.042,11.248.352.474.702,10022097667559.0,10554198738766.0,1284815706866.0,1277543567275.0,,97322353715.0,1796090116611.0,1382699504151.0,-1625411212994.0,-2063411689205.0,11477592278042.0,11248352474702.0
,,,2015VND,2014VND,2015VND,2014VND,2015VND,2014VND,2015VND,2014VND,2015VND,2014VND,2015VND,2014VND,,,,,,,,,,,,
Chi tiêu vốnKhẩu hao tài sản cổ định hữu hình,Chi tiêu vốnKhẩu hao tài sản cổ định hữu hình,Chi tiêu vốnKhẩu hao tài sản cổ định hữu hình,1.963.396.768.724,1.101.084.038.151,53.029.326.518,32.848.063.014,-,-,217.198.106.640,97.122.720.300,(66.065.644.982),(72.154.122.671),2.167.558.556.900,1.158.900.698.794,1963396768724.0,1101084038151.0,53029326518.0,32848063014.0,,,217198106640.0,97122720300.0,-66065644982.0,-72154122671.0,2167558556900.0,1158900698794.0
Chi tiêu vốnKhẩu hao tài sản cổ định hữu hình,Chi tiêu vốnKhẩu hao tài sản cổ định hữu hình,Chi tiêu vốnKhẩu hao tài sản cổ định hữu hình,511.728.723.005,426.495.175.498,12.195.463.001,22.907.792.947,-,763.082.448,37.998.513.672,32.301.971.464,(9.870.426.093),(19.437.394.888),552.052.273.585,463.030.627.469,511728723005.0,426495175498.0,12195463001.0,22907792947.0,,763082448.0,37998513672.0,32301971464.0,-9870426093.0,-19437394888.0,552052273585.0,463030627469.0
Chi tiêu vốnKhẩu hao tài sản cổ định hữu hình,Chi tiêu vốnKhẩu hao tài sản cổ định hữu hình,Chi tiêu vốnKhẩu hao tài sản cổ định hữu hình,7.890.852.739,5.467.333.379,-,-,-,-,-,-,-,-,7.890.852.739,5.467.333.379,7890852739.0,5467333379.0,,,,,,,,,7890852739.0,5467333379.0
Chi tiêu vốnKhẩu hao tài sản cổ định hữu hình,Chi tiêu vốnKhẩu hao tài sản cổ định hữu hình,Chi tiêu vốnKhẩu hao tài sản cổ định hữu hình,3.505.197.434,1.175.254.728,75.242.562,228.243.345,-,194.619.436,2.350.100.396,2.342.379.940,(2.283.218.434),-,3.647.321.958,3.940.497.449,3505197434.0,1175254728.0,75242562.0,228243345.0,,194619436.0,2350100396.0,2342379940.0,-2283218434.0,,3647321958.0,3940497449.0
Chi tiêu vốnKhẩu hao tài sản cổ định hữu hình,Chi tiêu vốnKhẩu hao tài sản cổ định hữu hình,Chi tiêu vốnKhẩu hao tài sản cổ định hữu hình,1.055.630.448,884.685.199,127.523.401,989.725,-,-,1.861.383.465,771.078.922,-,-,3.044.537.314,1.656.753.846,1055630448.0,884685199.0,127523401.0,989725.0,,,1861383465.0,771078922.0,,,3044537314.0,1656753846.0
