row_label_raw,row_label_full,col_0,Giá trị ghi sổ tại ngày nằm quyền kiểm soát VND,numeric__Giá trị ghi sổ tại ngày nằm quyền kiểm soát VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,52.691.483.183,52691483183.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,11.702.807.438,11702807438.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,19.924.141.249,19924141249.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,33.549.317.552,33549317552.0
Tài sản cổ định,Tài sản cổ định,Tài sản cổ định,110.170.016.097,110170016097.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,12.307.875.000,12307875000.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,22.474.506.551,22474506551.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,(69.245.611.442),-69245611442.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,(90.097.163.128),-90097163128.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,103.477.372.500,103477372500.0
Phần tài sản thuần thuộc Tập đoàn tại ngày nằm quyền kiểm soát,Phần tài sản thuần thuộc Tập đoàn tại ngày nằm quyền kiểm soát,Phần tài sản thuần thuộc Tập đoàn tại ngày nằm quyền kiểm soát,31.713.983.055,31713983055.0
Giá trị ghi sổ của khoản đầu tư vào Hanosimex - HĐT tại ngày Tập đoàn nằm quyền kiểm soát công ty này,Giá trị ghi sổ của khoản đầu tư vào Hanosimex - HĐT tại ngày Tập đoàn nằm quyền kiểm soát công ty này,Giá trị ghi sổ của khoản đầu tư vào Hanosimex - HĐT tại ngày Tập đoàn nằm quyền kiểm soát công ty này,(38.985.406.946),-38985406946.0
Phần sở hữu của cổ đông không kiểm soát trong giá trị ghi sổ khoản đầu tư vào Hanosimex - HĐT tại ngày Tập đoàn nằm quyền kiểm soát,Phần sở hữu của cổ đông không kiểm soát trong giá trị ghi sổ khoản đầu tư vào Hanosimex - HĐT tại ngày Tập đoàn nằm quyền kiểm soát,Phần sở hữu của cổ đông không kiểm soát trong giá trị ghi sổ khoản đầu tư vào Hanosimex - HĐT tại ngày Tập đoàn nằm quyền kiểm soát,5.532.053.208,5532053208.0
Phần sở hữu của Tập đoàn trong giá phí khoản đầu tư của Hanosimex - HĐT vào Công ty TNHH Một thành viên Hà Đông,Phần sở hữu của Tập đoàn trong giá phí khoản đầu tư của Hanosimex - HĐT vào Công ty TNHH Một thành viên Hà Đông,Phần sở hữu của Tập đoàn trong giá phí khoản đầu tư của Hanosimex - HĐT vào Công ty TNHH Một thành viên Hà Đông,(3.677.787.592),-3677787592.0
Hà Nam tại ngày Tập đoàn nằm quyền kiểm soát,Hà Nam tại ngày Tập đoàn nằm quyền kiểm soát,Hà Nam tại ngày Tập đoàn nằm quyền kiểm soát,,
Lợi thế thương mại phát sinh từ việc hợp nhất công ty con mới (Thuyết minh 22),Hà Nam tại ngày Tập đoàn nằm quyền kiểm soát > Lợi thế thương mại phát sinh từ việc hợp nhất công ty con mới (Thuyết minh 22),Lợi thế thương mại phát sinh từ việc hợp nhất công ty con mới (Thuyết minh 22),12.152.758.275,12152758275.0
Giá mua phần sở hữu tăng thêm tại Hanosimex - HĐT,Hà Nam tại ngày Tập đoàn nằm quyền kiểm soát > Giá mua phần sở hữu tăng thêm tại Hanosimex - HĐT,Giá mua phần sở hữu tăng thêm tại Hanosimex - HĐT,6.735.600.000,6735600000.0
Khoản tiền thu được,Hà Nam tại ngày Tập đoàn nằm quyền kiểm soát > Khoản tiền thu được,Khoản tiền thu được,(52.691.483.183),-52691483183.0
Khoản tiền thu được thuần,Hà Nam tại ngày Tập đoàn nằm quyền kiểm soát > Khoản tiền thu được thuần,Khoản tiền thu được thuần,(45.955.883.183),-45955883183.0
