row_label_raw,row_label_full,STT > Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định > 23 > 24,Tên đơn vị > Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định > Công ty CP May 1 Đệt Nam Định > Công ty CP Đô thị Đệt May Nam Định,"Tỷ lệ % sở hữu của Tập đoàn > Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định > 22,45% > 26,92%",Giá trị đầu tư theo mênh giá VND > Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định > 2.007.500.000 > 31.100.000.000,numeric__Tên đơn vị > Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định > Công ty CP May 1 Đệt Nam Định > Công ty CP Đô thị Đệt May Nam Định,"numeric__Tỷ lệ % sở hữu của Tập đoàn > Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định > 22,45% > 26,92%",numeric__Giá trị đầu tư theo mênh giá VND > Công ty liên kết của Tổng Công Ty CP Đệt may Nam Định > 2.007.500.000 > 31.100.000.000
Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội,,,
25,Công ty liên kết của Tổng Công ty CP Đệt May Hà Nội > 25,25,Công ty CP May Đông Mỹ Hanosimex,"16,68%",1.159.000.000,,0.1668,1159000000.0
Công ty liên kết của Công ty CP Sợi Phú bài,Công ty liên kết của Công ty CP Sợi Phú bài,Công ty liên kết của Công ty CP Sợi Phú bài,Công ty liên kết của Công ty CP Sợi Phú bài,Công ty liên kết của Công ty CP Sợi Phú bài,Công ty liên kết của Công ty CP Sợi Phú bài,,,
26,Công ty liên kết của Công ty CP Sợi Phú bài > 26,26,Công ty CP Sợi Phú Bài 2,"31,92%",24.000.000.000,,0.31920000000000004,24000000000.0
Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam,,,
27,Công ty liên kết của Công ty CP Hòa Thọ - Quảng Nam > 27,27,Công ty CP May Hòa Thọ - Phú Ninh,"18,57%",8.500.000.000,,0.1857,8500000000.0
Công ty liên kết của Tổng Công ty CP Phong Phú,Công ty liên kết của Tổng Công ty CP Phong Phú,Công ty liên kết của Tổng Công ty CP Phong Phú,Công ty liên kết của Tổng Công ty CP Phong Phú,Công ty liên kết của Tổng Công ty CP Phong Phú,Công ty liên kết của Tổng Công ty CP Phong Phú,,,
28,Công ty liên kết của Tổng Công ty CP Phong Phú > 28,28,Công ty TNHH Coats Phong Phú,"18,18%",106.691.335.644,,0.1818,106691335644.0
29,Công ty liên kết của Tổng Công ty CP Phong Phú > 29,29,Công ty CP đầu tư phát triển Phong Phú,"12,75%",46.425.000.000,,0.1275,46425000000.0
30,Công ty liên kết của Tổng Công ty CP Phong Phú > 30,30,Công ty CP Đầu tư Phát triển Nhà và Đô thị 9,"10,97%",10.000.000.000,,0.1097,10000000000.0
31,Công ty liên kết của Tổng Công ty CP Phong Phú > 31,31,Công ty CP May Đà Lạt,"20,40%",4.231.000.000,,0.204,4231000000.0
32,Công ty liên kết của Tổng Công ty CP Phong Phú > 32,32,Công ty TNHH Xây dựng Phong Đức,"17,85%",3.500.000.000,,0.17850000000000002,3500000000.0
33,Công ty liên kết của Tổng Công ty CP Phong Phú > 33,33,Công ty CP Đệt May Quảng Phú,"20,40%",36.000.000.000,,0.204,36000000000.0
34,Công ty liên kết của Tổng Công ty CP Phong Phú > 34,34,Công ty CP Nhà và Phát triển Đô thị Phú Quốc,"13,56%",17.700.000.000,,0.1356,17700000000.0
35,Công ty liên kết của Tổng Công ty CP Phong Phú > 35,35,Công ty CP Phát triển Nhà Phong Phú - Daewon - Thủ Đức,"24,30%",144.586.200.608,,0.243,144586200608.0
36,Công ty liên kết của Tổng Công ty CP Phong Phú > 36,36,Công ty CP Phát triển Phong Phú Lăng Cô,"19,59%",7.299.000.000,,0.1959,7299000000.0
