row_label_raw,row_label_full,col_0,Công nghiệp đệt may,Công nghiệp đệt may_1,"Xuất khẩu, nhập khẩu và kinh doanh thương mại","Xuất khẩu, nhập khẩu và kinh doanh thương mại_1",Kinh doanh tải chính,Kinh doanh tải chính_1,Các hoạt động khác,Các hoạt động khác_1,Loại trừ,Loại trừ_1,Hợp nhất,Hợp nhất_1,numeric__Công nghiệp đệt may,numeric__Công nghiệp đệt may_1,"numeric__Xuất khẩu, nhập khẩu và kinh doanh thương mại","numeric__Xuất khẩu, nhập khẩu và kinh doanh thương mại_1",numeric__Kinh doanh tải chính,numeric__Kinh doanh tải chính_1,numeric__Các hoạt động khác,numeric__Các hoạt động khác_1,numeric__Loại trừ,numeric__Loại trừ_1,numeric__Hợp nhất,numeric__Hợp nhất_1
,,,2015VND,2014VND,2015VND,2014VND,2015VND,2014VND,2015VND,2014VND,2015VND,2014VND,2015VND,2014VND,,,,,,,,,,,,
Doanh thu thuần về bản hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bản hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bản hàng và cung cấp dịch vụ ra bên ngoài,11.692.392.067.397,10.937.622.515.743,2.471.890.511.917,2.082.463.021.990,-,23.148.181.222,995.870.647.255,417.289.355.916,(46.004.822.523),-,15.114.148.404.046,13.460.523.074.871,11692392067397.0,10937622515743.0,2471890511917.0,2082463021990.0,,23148181222.0,995870647255.0,417289355916.0,-46004822523.0,,15114148404046.0,13460523074871.0
Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phần,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phần,Doanh thu thuần về bản hàng và cung cấp dịch vụ giữa các bộ phần,2.858.899.299.301,2.211.216.097.541,160.360.785.122,259.030.703.005,-,20.213.136.403,96.045.669.634,104.626.099.776,(3.115.305.754.057),(2.595.086.036.725),-,-,2858899299301.0,2211216097541.0,160360785122.0,259030703005.0,,20213136403.0,96045669634.0,104626099776.0,-3115305754057.0,-2595086036725.0,,
Tổng doanh thu thuần về bản hàng và cung cấp dịch vụ của bộ phần,Tổng doanh thu thuần về bản hàng và cung cấp dịch vụ của bộ phần,Tổng doanh thu thuần về bản hàng và cung cấp dịch vụ của bộ phần,14.551.291.366.698,13.148.838.613.284,2.632.251.297.039,2.341.493.724.995,-,43.361.317.625,1.091.916.316.889,521.915.455.692,(3.161.310.576.580),(2.595.086.036.725),15.114.148.404.046,13.460.523.074.871,14551291366698.0,13148838613284.0,2632251297039.0,2341493724995.0,,43361317625.0,1091916316889.0,521915455692.0,-3161310576580.0,-2595086036725.0,15114148404046.0,13460523074871.0
Phân lãi trong công ty liên kết,Phân lãi trong công ty liên kết,Phân lãi trong công ty liên kết,-,-,-,-,-,-,-,-,-,-,498.259.938.877,378.428.504.000,,,,,,,,,,,498259938877.0,378428504000.0
Lợi nhuận/(lỗ) thuần tư hoạt động kinh doanh,Lợi nhuận/(lỗ) thuần tư hoạt động kinh doanh,Lợi nhuận/(lỗ) thuần tư hoạt động kinh doanh,629.846.344.008,420.968.242.369,(50.520.560.239),(185.105.904.471),-,24.504.458.379,(27.399.860.519),303.940.153,23.597.934.661,(15.211.390.760),575.523.857.911,245.459.345.670,629846344008.0,420968242369.0,-50520560239.0,-185105904471.0,,24504458379.0,-27399860519.0,303940153.0,23597934661.0,-15211390760.0,575523857911.0,245459345670.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,169.565.035.771,260.171.503.175,4.433.849.031,11.871.950.265,-,3.739.925.127,159.408.527.939,3.876.793.026,(117.410.777.884),85.214.705.307,215.996.634.857,364.874.876.900,169565035771.0,260171503175.0,4433849031.0,11871950265.0,,3739925127.0,159408527939.0,3876793026.0,-117410777884.0,85214705307.0,215996634857.0,364874876900.0
Chi phí khác,Chi phí khác,Chi phí khác,(118.432.368.366),(147.923.232.959),(2.095.833.527),(3.664.522.510),-,(430.077.942),(106.575.852.180),(1.481.532.931),62.844.897.658,73.461.755.979,(164.259.156.415),(80.037.610.363),-118432368366.0,-147923232959.0,-2095833527.0,-3664522510.0,,-430077942.0,-106575852180.0,-1481532931.0,62844897658.0,73461755979.0,-164259156415.0,-80037610363.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(58.536.307.602),(36.831.599.623),(1.354.900.157),(1.756.110.347),-,(6.156.546.233),(4.865.549.715),(2.793.401.310),-,-,(64.756.757.475),(47.537.657.513),-58536307602.0,-36831599623.0,-1354900157.0,-1756110347.0,,-6156546233.0,-4865549715.0,-2793401310.0,,,-64756757475.0,-47537657513.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,1.838.679.008,(2.639.140.096),-,-,-,-,-,20.740.995,(32.383.849.563),(15.556.263.278),(30.545.170.555),(18.174.662.379),1838679008.0,-2639140096.0,,,,,,20740995.0,-32383849563.0,-15556263278.0,-30545170555.0,-18174662379.0
Lợi nhuận/(lỗ) thuần sau thuế,Lợi nhuận/(lỗ) thuần sau thuế,Lợi nhuận/(lỗ) thuần sau thuế,624.281.382.818,493.745.772.866,(49.537.444.892),(178.654.587.063),-,21.657.759.331,20.567.265.525,(73.460.067),(63.351.795.128),127.908.807.248,531.959.408.323,464.584.292.315,624281382818.0,493745772866.0,-49537444892.0,-178654587063.0,,21657759331.0,20567265525.0,-73460067.0,-63351795128.0,127908807248.0,531959408323.0,464584292315.0
