row_label_raw,row_label_full,col_0,2015VND,2014VNDĐã điều chỉnh lại,numeric__2015VND,numeric__2014VNDĐã điều chỉnh lại
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,1.443.930.552.590,1.434.541.710.408,1443930552590.0,1434541710408.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,40.563.463.012,1.969.504.425,40563463012.0,1969504425.0
Tăng do hợp nhất các công ty con mới trong năm,Tăng do hợp nhất các công ty con mới trong năm,Tăng do hợp nhất các công ty con mới trong năm,307.875.000,450.706.222.695,307875000.0,450706222695.0
Lãi từ đầu tư vào các công ty liên kết,Lãi từ đầu tư vào các công ty liên kết,Lãi từ đầu tư vào các công ty liên kết,498.259.938.877,378.428.504.000,498259938877.0,378428504000.0
Cổ tức được chia,Cổ tức được chia,Cổ tức được chia,(290.785.546.816),(274.994.820.682),-290785546816.0,-274994820682.0
Thanh lý các công ty liên kết,Thanh lý các công ty liên kết,Thanh lý các công ty liên kết,(19.935.420.802),(2.825.744.135),-19935420802.0,-2825744135.0
Giá trị ghi số của khoản đầu tư vào các công tyliên kết tại ngày Tập đoàn nấm quyền kiểm soátcác công ty liên kết này,Giá trị ghi số của khoản đầu tư vào các công tyliên kết tại ngày Tập đoàn nấm quyền kiểm soátcác công ty liên kết này,Giá trị ghi số của khoản đầu tư vào các công tyliên kết tại ngày Tập đoàn nấm quyền kiểm soátcác công ty liên kết này,(38.985.406.946),(588.290.491.064),-38985406946.0,-588290491064.0
Tăng do sáp nhập một công ty liên kết với cáccông ty con của công ty liên kết này,Tăng do sáp nhập một công ty liên kết với cáccông ty con của công ty liên kết này,Tăng do sáp nhập một công ty liên kết với cáccông ty con của công ty liên kết này,-,61.496.489.299,,61496489299.0
Tăng do một công ty con chuyển thành công tyliên kết (Thuyết minh 7(a)),Tăng do một công ty con chuyển thành công tyliên kết (Thuyết minh 7(a)),Tăng do một công ty con chuyển thành công tyliên kết (Thuyết minh 7(a)),113.348.901.096,-,113348901096.0,
Giảm do mất quyền kiểm soát các công ty con cấp 1Khác,Giảm do mất quyền kiểm soát các công ty con cấp 1Khác,Giảm do mất quyền kiểm soát các công ty con cấp 1Khác,(106.064.726.300)8.041.404.740,(17.100.822.356),,-17100822356.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.648.681.034.451,1.443.930.552.590,1648681034451.0,1443930552590.0
