row_label_raw,row_label_full,col_0,31/12/2015 > Tỷ lệ % sở hữu,31/12/2015 > Tỷ lệ % quyền biểu quyết,31/12/2015 > Giá trị ghi số VND,31/12/2015 > Giá trị hợp lý VND,1/1/2015 > Tỷ lệ % quyền biểu quyết,1/1/2015 > Tỷ lệ % quyền biểu quyết_1,1/1/2015 > Giá trị ghi số VND Đã điều chỉnh lại,numeric__31/12/2015 > Tỷ lệ % sở hữu,numeric__31/12/2015 > Tỷ lệ % quyền biểu quyết,numeric__31/12/2015 > Giá trị ghi số VND,numeric__31/12/2015 > Giá trị hợp lý VND,numeric__1/1/2015 > Tỷ lệ % quyền biểu quyết,numeric__1/1/2015 > Tỷ lệ % quyền biểu quyết_1,numeric__1/1/2015 > Giá trị ghi số VND Đã điều chỉnh lại
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,
▪ Tổng Công ty May 10 - Công ty Cổ phần,Công ty liên kết > ▪ Tổng Công ty May 10 - Công ty Cổ phần,▪ Tổng Công ty May 10 - Công ty Cổ phần,"35,51%","35,51%",71.045.689.154,,"35,51%","35,51%",62.753.824.310,0.35509999999999997,0.35509999999999997,71045689154.0,,0.35509999999999997,0.35509999999999997,62753824310.0
▪ Tổng Công ty Cổ phần May Việt Tiến,Công ty liên kết > ▪ Tổng Công ty Cổ phần May Việt Tiến,▪ Tổng Công ty Cổ phần May Việt Tiến,"47,88%","47,88%",476.973.216.273,,"47,88%","47,88%",306.063.878.852,0.4788,0.4788,476973216273.0,,0.4788,0.4788,306063878852.0
▪ Tổng Công ty Việt Thắng - Công ty Cổ phần,Công ty liên kết > ▪ Tổng Công ty Việt Thắng - Công ty Cổ phần,▪ Tổng Công ty Việt Thắng - Công ty Cổ phần,"46,93%","46,93%",250.654.985.697,,"46,93%","46,93%",223.707.752.253,0.4693,0.4693,250654985697.0,,0.4693,0.4693,223707752253.0
▪ Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Công ty liên kết > ▪ Công ty Cổ phần Đầu tư Vinatex Tân Tạo,▪ Công ty Cổ phần Đầu tư Vinatex Tân Tạo,"27,00%","27,00%",43.244.547.421,,"27,00%","27,00%",34.880.678.417,0.27,0.27,43244547421.0,,0.27,0.27,34880678417.0
▪ Công ty Cổ phần May Nhà Bè,Công ty liên kết > ▪ Công ty Cổ phần May Nhà Bè,▪ Công ty Cổ phần May Nhà Bè,"27,69%","27,69%",89.435.414.291,,"27,69%","27,69%",86.300.037.825,0.27690000000000003,0.27690000000000003,89435414291.0,,0.27690000000000003,0.27690000000000003,86300037825.0
▪ Công ty Cổ phần May Đức Giang,Công ty liên kết > ▪ Công ty Cổ phần May Đức Giang,▪ Công ty Cổ phần May Đức Giang,"36,79%","36,79%",52.354.760.191,,"36,79%","36,79%",38.239.219.272,0.3679,0.3679,52354760191.0,,0.3679,0.3679,38239219272.0
▪ Công ty Cổ phần May Hưng Yên,Công ty liên kết > ▪ Công ty Cổ phần May Hưng Yên,▪ Công ty Cổ phần May Hưng Yên,"35,01%","35,01%",80.385.635.337,,"36,28%","36,28%",71.321.740.126,0.35009999999999997,0.35009999999999997,80385635337.0,,0.3628,0.3628,71321740126.0
▪ Công ty Cổ phần Dệt May Viễn thôngSài Gòn Vina,Công ty liên kết > ▪ Công ty Cổ phần Dệt May Viễn thôngSài Gòn Vina,▪ Công ty Cổ phần Dệt May Viễn thôngSài Gòn Vina,"30,00%","30,00%",85.854.704.421,,"30,00%","30,00%",85.346.535.875,0.3,0.3,85854704421.0,,0.3,0.3,85346535875.0
▪ Công ty Cổ phần Đầu tư Phát triển Phong Phú,Công ty liên kết > ▪ Công ty Cổ phần Đầu tư Phát triển Phong Phú,▪ Công ty Cổ phần Đầu tư Phát triển Phong Phú,"12,75%","25,00%",28.878.436.808,,"12,75%","25,00%",28.911.696.032,0.1275,0.25,28878436808.0,,0.1275,0.25,28911696032.0
▪ Công ty Cổ phần Dệt May Quảng Phú,Công ty liên kết > ▪ Công ty Cổ phần Dệt May Quảng Phú,▪ Công ty Cổ phần Dệt May Quảng Phú,"20,40%","40,00%",38.262.311.562,,"20,40%","40,00%",34.026.565.216,0.204,0.4,38262311562.0,,0.204,0.4,34026565216.0
▪ Công ty TNHH Đầu tư Phúc Thịnh Đức,Công ty liên kết > ▪ Công ty TNHH Đầu tư Phúc Thịnh Đức,▪ Công ty TNHH Đầu tư Phúc Thịnh Đức,,,,,"12,32%","29,45%",60.061.243.893,,,,,0.1232,0.2945,60061243893.0
▪ Công ty TNHH Coats Phong Phú,Công ty liên kết > ▪ Công ty TNHH Coats Phong Phú,▪ Công ty TNHH Coats Phong Phú,"18,18%","35,65%",151.764.323.142,,"18,18%","35,65%",74.501.674.130,0.1818,0.3565,151764323142.0,,0.1818,0.3565,74501674130.0
▪ Các khoản đầu tư tại công ty liên kết khác,Công ty liên kết > ▪ Các khoản đầu tư tại công ty liên kết khác,▪ Các khoản đầu tư tại công ty liên kết khác,,,279.827.010.154,,,,337.815.706.389,,,279827010154.0,,,,337815706389.0
,,,,,1.648.681.034.451 (*),,,,1.443.930.552.590 (*),,,,,,,
