row_label_raw,row_label_full,STT,Tên đơn vị,Tỷ lệ sở hữu của Tập đoàn,Tỷ lệ sở hữu của Tập đoàn_1,Tỷ lệ sở hữu của Tập đoàn_2,Tỷ lệ sở hữu của Tập đoàn_3,Tỷ lệ sở hữu gián tiếp thông qua công ty mẹ trực tiếp,Tỷ lệ sở hữu gián tiếp thông qua công ty mẹ trực tiếp_1,Tỷ lệ sở hữu gián tiếp thông qua công ty mẹ trực tiếp_2,Giá trị đầu tư của công ty mẹ trực tiếp VND,Giá trị đầu tư của công ty mẹ trực tiếp VND_1,Giá trị đầu tư của các công ty khác trong Tập đoàn VND,Giá trị đầu tư của các công ty khác trong Tập đoàn VND_1,numeric__Tên đơn vị,numeric__Tỷ lệ sở hữu của Tập đoàn,numeric__Tỷ lệ sở hữu của Tập đoàn_1,numeric__Tỷ lệ sở hữu của Tập đoàn_2,numeric__Tỷ lệ sở hữu của Tập đoàn_3,numeric__Tỷ lệ sở hữu gián tiếp thông qua công ty mẹ trực tiếp,numeric__Tỷ lệ sở hữu gián tiếp thông qua công ty mẹ trực tiếp_1,numeric__Tỷ lệ sở hữu gián tiếp thông qua công ty mẹ trực tiếp_2,numeric__Giá trị đầu tư của công ty mẹ trực tiếp VND,numeric__Giá trị đầu tư của công ty mẹ trực tiếp VND_1,numeric__Giá trị đầu tư của các công ty khác trong Tập đoàn VND,numeric__Giá trị đầu tư của các công ty khác trong Tập đoàn VND_1
,,,,Tỷ lệ sở hữu trực tiếp,Tỷ lệ sở hữu gián tiếp thông qua công ty mẹ trực tiếp,Tỷ lệ sở hữu gián tiếp thông qua công ty khác,Tổng tỷ lệ sở hữu,Tỷ lệ sở hữu trực tiếp,Tỷ lệ sở hữu của Tập đoàn với công ty mẹ trực tiếp,Tổng tỷ lệ sở hữu,Theo mênh giá,Giá gốc khoản đầu tư,Theo mênh giá,Giá gốc khoản đầu tư,,,,,,,,,,,,
11,11,11,Công ty CP May Halotexco,0%,"30,88%","13,74%","44,62%","53,64%","57,57%","30,88%",1.877.500.000,1.877.500.000,1.100.000.000,1.100.000.000,,0.0,0.30879999999999996,0.1374,0.4462,0.5364,0.5757,0.30879999999999996,1877500000.0,1877500000.0,1100000000.0,1100000000.0
12,12,12,Công ty CP May Hải Phòng Hanosimex,0%,"28,79%","5,88%","34,67%","50,00%","57,57%","28,79%",1.250.000.000,1.250.000.000,500.000.000,500.000.000,,0.0,0.2879,0.0588,0.3467,0.5,0.5757,0.2879,1250000000.0,1250000000.0,500000000.0,500000000.0
13,13,13,Công ty TNHH MTV Hà Nam – Hanosimex,0%,"57,57%",0%,"57,57%",100%,"57,57%","57,57%",100.000.000.000,100.000.000.000,-,-,,0.0,0.5757,0.0,0.5757,1.0,0.5757,0.5757,100000000000.0,100000000000.0,,
14,14,14,Công ty CP Đệt Hà Đông Hanosimex,0%,"30,65%",0%,"30,65%","53,23%","57,57%","30,65%",6.920.000.000,13.039.194.560,-,-,,0.0,0.3065,0.0,0.3065,0.5323,0.5757,0.3065,6920000000.0,13039194560.0,,
15,15,15,Công ty TNHH MTV Hà Đông Hà Nam,0%,"30,65%",0%,"30,65%",100%,"30,65%","30,65%",12.000.000.000,12.000.000.000,-,-,,0.0,0.3065,0.0,0.3065,1.0,0.3065,0.3065,12000000000.0,12000000000.0,,
Công ty con của Tổng Công ty CP Đệt may Nam Định,Công ty con của Tổng Công ty CP Đệt may Nam Định,Công ty con của Tổng Công ty CP Đệt may Nam Định,Công ty con của Tổng Công ty CP Đệt may Nam Định,Công ty con của Tổng Công ty CP Đệt may Nam Định,Công ty con của Tổng Công ty CP Đệt may Nam Định,Công ty con của Tổng Công ty CP Đệt may Nam Định,Công ty con của Tổng Công ty CP Đệt may Nam Định,Công ty con của Tổng Công ty CP Đệt may Nam Định,Công ty con của Tổng Công ty CP Đệt may Nam Định,Công ty con của Tổng Công ty CP Đệt may Nam Định,Công ty con của Tổng Công ty CP Đệt may Nam Định,Công ty con của Tổng Công ty CP Đệt may Nam Định,Công ty con của Tổng Công ty CP Đệt may Nam Định,Công ty con của Tổng Công ty CP Đệt may Nam Định,,,,,,,,,,,,
16,Công ty con của Tổng Công ty CP Đệt may Nam Định > 16,16,Công ty CP Dịch vụ Thương mại Đệt Nam Định,0%,"28,19%",0%,"28,19%","52,52%","53,67%","28,19%",2.836.200.000,2.836.200.000,-,-,,0.0,0.28190000000000004,0.0,0.28190000000000004,0.5252,0.5367000000000001,0.28190000000000004,2836200000.0,2836200000.0,,
17,Công ty con của Tổng Công ty CP Đệt may Nam Định > 17,17,Công ty CP Chăn Len Nam Định,0%,"47,11%",0%,"47,11%","87,78%","53,67%","47,11%",10.513.260.000,10.513.260.000,-,-,,0.0,0.4711,0.0,0.4711,0.8778,0.5367000000000001,0.4711,10513260000.0,10513260000.0,,
18,Công ty con của Tổng Công ty CP Đệt may Nam Định > 18,18,Công ty CP May IV Đệt Nam Định,0%,"28,69%",0%,"28,69%","53,46%","53,67%","28,69%",2.673.000.000,2.673.000.000,-,-,,0.0,0.2869,0.0,0.2869,0.5346,0.5367000000000001,0.2869,2673000000.0,2673000000.0,,
