row_label_raw,row_label_full,Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,Đại diện vốn của cổ đông Nhà nước - Công ty mẹ,numeric__Đại diện vốn của cổ đông Nhà nước - Công ty mẹ
Công ty Cổ phần SAM Holdings,Công ty Cổ phần SAM Holdings,Công ty Cổ phần SAM Holdings,Cổ đông lớn,
Công ty Cổ phần Đầu tư U&I,Công ty Cổ phần Đầu tư U&I,Công ty Cổ phần Đầu tư U&I,Cổ đông lớn,
Bà Trần Thị Thu Hà,Bà Trần Thị Thu Hà,Bà Trần Thị Thu Hà,Cổ đông lớn,
"KP Apparel Manufacturing Co., Ltd","KP Apparel Manufacturing Co., Ltd","KP Apparel Manufacturing Co., Ltd",Công ty con,
Công ty TNHH MTV Giấy Vĩnh Phú,Công ty TNHH MTV Giấy Vĩnh Phú,Công ty TNHH MTV Giấy Vĩnh Phú,Công ty con,
Công ty CP Thương mại Tổng hợp Thuận An,Công ty CP Thương mại Tổng hợp Thuận An,Công ty CP Thương mại Tổng hợp Thuận An,Công ty con,
Công ty TNHH MTV Quốc tế Protrade,Công ty TNHH MTV Quốc tế Protrade,Công ty TNHH MTV Quốc tế Protrade,Công ty con,
Công ty TNHH Sân Golf Palm Sông Bé,Công ty TNHH Sân Golf Palm Sông Bé,Công ty TNHH Sân Golf Palm Sông Bé,Công ty con,
Công ty CP Cao su Dầu Tiếng Việt Lào,Công ty CP Cao su Dầu Tiếng Việt Lào,Công ty CP Cao su Dầu Tiếng Việt Lào,Công ty con,
Công ty CP Phát triển Phú Mỹ,Công ty CP Phát triển Phú Mỹ,Công ty CP Phát triển Phú Mỹ,Công ty liên kết,
Công ty TNHH FrieslandCampina Việt Nam,Công ty TNHH FrieslandCampina Việt Nam,Công ty TNHH FrieslandCampina Việt Nam,Công ty liên kết,
Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,Công ty liên kết,
Công ty CP Hưng Vượng,Công ty CP Hưng Vượng,Công ty CP Hưng Vượng,Công ty liên kết,
Công ty TNHH YCH-PROTRADE,Công ty TNHH YCH-PROTRADE,Công ty TNHH YCH-PROTRADE,Công ty liên kết,
Công ty CP Đầu tư và Phát triển Tân Thành,Công ty CP Đầu tư và Phát triển Tân Thành,Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,
Công ty CP May mặc Bình Dương,Công ty CP May mặc Bình Dương,Công ty CP May mặc Bình Dương,Công ty liên kết,
Tỉnh ủy Bình Dương,Tỉnh ủy Bình Dương,Tỉnh ủy Bình Dương,Chủ sở hữu Công ty mẹ,
Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,Công ty có cùng người quản lý chủ chốt,
Công ty Cổ phần Cao su Phước Hòa,Công ty Cổ phần Cao su Phước Hòa,Công ty Cổ phần Cao su Phước Hòa,Công ty có cùng người quản lý chủ chốt,
Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Công ty có cùng người quản lý chủ chốt,
Công ty Cổ phần Công viên nước Đầm Sen,Công ty Cổ phần Công viên nước Đầm Sen,Công ty Cổ phần Công viên nước Đầm Sen,Công ty có cùng người quản lý chủ chốt,
Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty có cùng người quản lý chủ chốt,
Công ty Cổ phần Tổng Công ty Nước - Môi trường tỉnh Bình Dương,Công ty Cổ phần Tổng Công ty Nước - Môi trường tỉnh Bình Dương,Công ty Cổ phần Tổng Công ty Nước - Môi trường tỉnh Bình Dương,Công ty có cùng người quản lý chủ chốt,
Công ty Cổ phần Đầu tư Xây dựng Chánh Phú Hòa,Công ty Cổ phần Đầu tư Xây dựng Chánh Phú Hòa,Công ty Cổ phần Đầu tư Xây dựng Chánh Phú Hòa,Công ty có cùng người quản lý chủ chốt,
Công ty Cổ phần Cấp nước Gia Tân,Công ty Cổ phần Cấp nước Gia Tân,Công ty Cổ phần Cấp nước Gia Tân,Công ty có cùng người quản lý chủ chốt,
Công ty Cổ phần Cấp nước Đồng Nai,Công ty Cổ phần Cấp nước Đồng Nai,Công ty Cổ phần Cấp nước Đồng Nai,Công ty có cùng người quản lý chủ chốt,
Công ty Cổ phần Cấp thoát nước Cần Thơ,Công ty Cổ phần Cấp thoát nước Cần Thơ,Công ty Cổ phần Cấp thoát nước Cần Thơ,Công ty có cùng người quản lý chủ chốt,
Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Công ty có cùng người quản lý chủ chốt,
Công ty Cổ phần Luật TNHH B.C.M,Công ty Cổ phần Luật TNHH B.C.M,Công ty Cổ phần Luật TNHH B.C.M,Công ty có cùng người quản lý chủ chốt,
Công ty Cổ phần Dây và Cáp SACOM,Công ty Cổ phần Dây và Cáp SACOM,Công ty Cổ phần Dây và Cáp SACOM,Công ty có cùng người quản lý chủ chốt,
Công ty Cổ phần SACOM - Tuyền Lâm,Công ty Cổ phần SACOM - Tuyền Lâm,Công ty Cổ phần SACOM - Tuyền Lâm,Công ty có cùng người quản lý chủ chốt,
Công ty Cổ phần Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty Cổ phần Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty Cổ phần Liên doanh Cảng Quốc tế Mỹ Thủy,Công ty có cùng người quản lý chủ chốt,
Công ty Cổ phần Tập đoàn LEC,Công ty Cổ phần Tập đoàn LEC,Công ty Cổ phần Tập đoàn LEC,Công ty có cùng người quản lý chủ chốt,
"Các thành viên Hội đồng quản trị, Ban Tổng Giám đốc, Ban Kiểm soát","Các thành viên Hội đồng quản trị, Ban Tổng Giám đốc, Ban Kiểm soát","Các thành viên Hội đồng quản trị, Ban Tổng Giám đốc, Ban Kiểm soát",Người nội bộ,
