row_label_raw,row_label_full,col_0,Phần mềm máy tính,Khác,Cộng,numeric__Phần mềm máy tính,numeric__Khác,numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,369.475.237,87.000.000,456.475.237,369475237.0,87000000.0,456475237.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,369.475.237,87.000.000,456.475.237,369475237.0,87000000.0,456475237.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,301.553.377,47.896.774,349.450.151,301553377.0,47896774.0,349450151.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,22.640.628,17.400.000,40.040.628,22640628.0,17400000.0,40040628.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,324.194.005,65.296.774,389.490.779,324194005.0,65296774.0,389490779.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,67.921.860,39.103.226,107.025.086,67921860.0,39103226.0,107025086.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,45.281.232,21.703.226,66.984.458,45281232.0,21703226.0,66984458.0
