row_label_raw,row_label_full,CÁC KHOẢN ĐẦU TƯ TÀI CHÍNH (Tiếp theo)Thông tin chi tiết về các đơn vị nhận đầu tư trong năm:Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,
"- KP Apparell Manufacturing Co.,Ltd","Công ty con > - KP Apparell Manufacturing Co.,Ltd","- KP Apparell Manufacturing Co.,Ltd",Vương quốc Campuchia,"100,00%","100,00%","Sản xuất hàng sợi, vải, may mặc",,1.0,1.0,
- Công ty TNHH MTV Giấy Vĩnh Phú\( ^{(1)} \),Công ty con > - Công ty TNHH MTV Giấy Vĩnh Phú\( ^{(1)} \),- Công ty TNHH MTV Giấy Vĩnh Phú\( ^{(1)} \),Thành phố Hồ Chí Minh,"100,00%","100,00%","Sản xuất, kinh doanh sản phẩm từ giấy",,1.0,1.0,
- Công ty CP Thương mại Tổng hợp Thuận An,Công ty con > - Công ty CP Thương mại Tổng hợp Thuận An,- Công ty CP Thương mại Tổng hợp Thuận An,Thành phố Hồ Chí Minh,"62,68%","62,68%",Kinh doanh thương mại,,0.6268,0.6268,
- Công ty TNHH MTV Quốc Tế Protrade,Công ty con > - Công ty TNHH MTV Quốc Tế Protrade,- Công ty TNHH MTV Quốc Tế Protrade,Thành phố Hồ Chí Minh,"100,00%","100,00%",Kinh doanh hạ tầng khu công nghiệp,,1.0,1.0,
- Công ty TNHH Sân Golf Palm Sông Bé,Công ty con > - Công ty TNHH Sân Golf Palm Sông Bé,- Công ty TNHH Sân Golf Palm Sông Bé,Thành phố Hồ Chí Minh,"100,00%","100,00%",Kinh doanh dịch vụ golf,,1.0,1.0,
- Công ty CP Cao su Dầu Tiếng Việt Lào,Công ty con > - Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,Thành phố Hồ Chí Minh,"50,50%","50,50%","Trồng, khai thác, chế biến mủ cao su",,0.505,0.505,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
- Công ty CP Phát triển Phú Mỹ,Công ty liên kết > - Công ty CP Phát triển Phú Mỹ,- Công ty CP Phát triển Phú Mỹ,Thành phố Hồ Chí Minh,"35,00%","35,00%","Kinh doanh bất động sản, dịch vụ golf",,0.35,0.35,
- Công ty TNHH FrieslandCampina Việt Nam,Công ty liên kết > - Công ty TNHH FrieslandCampina Việt Nam,- Công ty TNHH FrieslandCampina Việt Nam,Thành phố Hồ Chí Minh,"30,00%","30,00%",Kinh doanh sữa và nước giải khát,,0.3,0.3,
- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,Công ty liên kết > - Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,Thành phố Hồ Chí Minh,"24,00%","24,00%",Dịch vụ y tế,,0.24,0.24,
- Công ty CP Hưng Vương\( ^{(2)} \),Công ty liên kết > - Công ty CP Hưng Vương\( ^{(2)} \),- Công ty CP Hưng Vương\( ^{(2)} \),Thành phố Hồ Chí Minh,"30,90%","35,96%","Sản xuất kinh doanh sản phẩm từ gỗ,kinh doanh hạ tầng khu công nghiệp",,0.309,0.35960000000000003,
- Công ty TNHH YCH-PROTRADE,Công ty liên kết > - Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,Thành phố Hồ Chí Minh,"30,00%","30,00%",Kinh doanh dịch vụ logistics,,0.3,0.3,
- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết > - Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Thành phố Hồ Chí Minh,"30,00%","30,00%","Kinh doanh bất động sản, dịch vụ golf",,0.3,0.3,
- Công ty CP May mặc Bình Dương\( ^{(2)} \),Công ty liên kết > - Công ty CP May mặc Bình Dương\( ^{(2)} \),- Công ty CP May mặc Bình Dương\( ^{(2)} \),Thành phố Hồ Chí Minh,"47,71%","49,46%",Sản xuất kinh doanh hàng may mặc,,0.4771,0.4946,
Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,Đơn vị khác,,,,
- Công ty CP Cơ khí Vận tải Cao su Dầu Tiếng,Đơn vị khác > - Công ty CP Cơ khí Vận tải Cao su Dầu Tiếng,- Công ty CP Cơ khí Vận tải Cao su Dầu Tiếng,Thành phố Hồ Chí Minh,"2,10%","2,10%",Vận chuyển và gia công cơ khí,,0.021,0.021,
