row_label_raw,row_label_full,"a) Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","31/12/2025 > Giá gốcVND > a) Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","31/12/2025 > Giá trị có thể thu hồiVND > a) Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","01/01/2025 > Giá gốcVND > a) Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","01/01/2025 > Giá trị có thể thu hồiVND > a) Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__31/12/2025 > Giá gốcVND > a) Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__31/12/2025 > Giá trị có thể thu hồiVND > a) Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__01/01/2025 > Giá gốcVND > a) Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi","numeric__01/01/2025 > Giá trị có thể thu hồiVND > a) Tổng giá trị các khoản phải thu, cho vay quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi"
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,,,
Bà Hứa Ngọc Oanh,Phải thu khách hàng > Bà Hứa Ngọc Oanh,Bà Hứa Ngọc Oanh,281.207.000,-,286.207.000,-,281207000.0,,286207000.0,
Các khách hàng khác,Phải thu khách hàng > Các khách hàng khác,Các khách hàng khác,1.992.586.650,-,2.007.586.650,-,1992586650.0,,2007586650.0,
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,,,,
Ông Bùi Thanh Hải,Trả trước cho người bán > Ông Bùi Thanh Hải,Ông Bùi Thanh Hải,10.032.700.000,-,10.207.700.000,7.145.390.000,10032700000.0,,10207700000.0,7145390000.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,,,,
Công ty CP Đầu tư & Phát triển Tân Thành,Phải thu về cho vay > Công ty CP Đầu tư & Phát triển Tân Thành,Công ty CP Đầu tư & Phát triển Tân Thành,92.347.102.061,77.273.972.953,107.347.102.061,75.142.971.443,92347102061.0,77273972953.0,107347102061.0,75142971443.0
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,,,
Công ty CP Đầu tư & Phát triển Tân Thành (*),Phải thu khác > Công ty CP Đầu tư & Phát triển Tân Thành (*),Công ty CP Đầu tư & Phát triển Tân Thành (*),172.913.753.054,115.884.180.822,172.913.753.054,144.311.387.345,172913753054.0,115884180822.0,172913753054.0,144311387345.0
Phải thu các khoản tạm nộp chờ quyết toán cổ phần hóa (**),Phải thu khác > Phải thu các khoản tạm nộp chờ quyết toán cổ phần hóa (**),Phải thu các khoản tạm nộp chờ quyết toán cổ phần hóa (**),972.238.328.857,760.193.378.566,972.238.328.857,830.875.028.663,972238328857.0,760193378566.0,972238328857.0,830875028663.0
,,,1.249.805.677.622,953.351.532.341,1.265.000.677.622,1.057.474.777.451,1249805677622.0,953351532341.0,1265000677622.0,1057474777451.0
