row_label_raw,row_label_full,Ông Nguyễn An Định,Chủ tịch,numeric__Chủ tịch
Ông Trần Hồng Khôi,Ông Trần Hồng Khôi,Ông Trần Hồng Khôi,Thành viên,
Ông Trần Việt Anh,Ông Trần Việt Anh,Ông Trần Việt Anh,Thành viên,
Ông Nguyễn Văn Thiền,Ông Nguyễn Văn Thiền,Ông Nguyễn Văn Thiền,Thành viên,
Ông Mai Hữu Tín,Ông Mai Hữu Tín,Ông Mai Hữu Tín,Thành viên,
Ông Lê Trọng Nghĩa,Ông Lê Trọng Nghĩa,Ông Lê Trọng Nghĩa,Thành viên,
Ông Nguyễn Văn Hiền Phúc,Ông Nguyễn Văn Hiền Phúc,Ông Nguyễn Văn Hiền Phúc,Thành viên HĐQT độc lập,
