row_label_raw,row_label_full,col_0,Vốn đầu tư của Chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của Chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.000.000.000.000,29.078.979.932,272.860.723.320,3.301.939.703.252,3000000000000.0,29078979932.0,272860723320.0,3301939703252.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,51.713.623.433,51.713.623.433,,,51713623433.0,51713623433.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,(90.000.000.000),(90.000.000.000),,,-90000000000.0,-90000000000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,2.653.521.599,(2.653.521.599),-,,2653521599.0,-2653521599.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,(2.653.521.599),(2.653.521.599),,,-2653521599.0,-2653521599.0
Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,-,-,(216.000.000),(216.000.000),,,-216000000.0,-216000000.0
"Thù lao Hội đồng Quản trị, Ban Kiểm soát","Thù lao Hội đồng Quản trị, Ban Kiểm soát","Thù lao Hội đồng Quản trị, Ban Kiểm soát",-,-,(1.296.000.000),(1.296.000.000),,,-1296000000.0,-1296000000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.000.000.000.000,31.732.501.531,227.755.303.555,3.259.487.805.086,3000000000000.0,31732501531.0,227755303555.0,3259487805086.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.000.000.000.000,31.732.501.531,227.755.303.555,3.259.487.805.086,3000000000000.0,31732501531.0,227755303555.0,3259487805086.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,56.433.878.280,56.433.878.280,,,56433878280.0,56433878280.0
Trích quỹ đầu tư phát triển (*),Trích quỹ đầu tư phát triển (*),Trích quỹ đầu tư phát triển (*),-,2.585.681.172,(2.585.681.172),-,,2585681172.0,-2585681172.0,
Trích quỹ khen thưởng phúc lợi (*),Trích quỹ khen thưởng phúc lợi (*),Trích quỹ khen thưởng phúc lợi (*),-,-,(2.585.681.172),(2.585.681.172),,,-2585681172.0,-2585681172.0
"Thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2024 (*)","Thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2024 (*)","Thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2024 (*)",-,-,(1.900.800.000),(1.900.800.000),,,-1900800000.0,-1900800000.0
Chia cổ tức (*),Chia cổ tức (*),Chia cổ tức (*),-,-,(90.000.000.000),(90.000.000.000),,,-90000000000.0,-90000000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.000.000.000.000,34.318.182.703,187.117.019.491,3.221.435.202.194,3000000000000.0,34318182703.0,187117019491.0,3221435202194.0
