row_label_raw,row_label_full,col_0,Mã CK,31/12/2025 > Giá gốcVND,31/12/2025 > Giá trị hợp lýVND,31/12/2025 > Dự phòngVND,01/01/2025 > Giá gốcVND,01/01/2025 > Giá trị hợp lýVND,01/01/2025 > Dự phòngVND,numeric__Mã CK,numeric__31/12/2025 > Giá gốcVND,numeric__31/12/2025 > Giá trị hợp lýVND,numeric__31/12/2025 > Dự phòngVND,numeric__01/01/2025 > Giá gốcVND,numeric__01/01/2025 > Giá trị hợp lýVND,numeric__01/01/2025 > Dự phòngVND
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,1.983.268.790.753,,(99.459.377.985),1.983.268.790.753,,(125.328.189.181),,1983268790753.0,,-99459377985.0,1983268790753.0,,-125328189181.0
"- KP Apparel Manufacturing Co., Ltd","- KP Apparel Manufacturing Co., Ltd","- KP Apparel Manufacturing Co., Ltd",,62.138.569.749,,-,62.138.569.749,,-,,62138569749.0,,,62138569749.0,,
- Công ty TNHH MTV Giấy Vĩnh Phú (1),- Công ty TNHH MTV Giấy Vĩnh Phú (1),- Công ty TNHH MTV Giấy Vĩnh Phú (1),,84.522.691.475,,(12.697.646.380),84.522.691.475,,(16.119.332.037),,84522691475.0,,-12697646380.0,84522691475.0,,-16119332037.0
- Công ty CP Thương mại Tổng hợp Thuận An,- Công ty CP Thương mại Tổng hợp Thuận An,- Công ty CP Thương mại Tổng hợp Thuận An,,17.597.456.293,,-,17.597.456.293,,-,,17597456293.0,,,17597456293.0,,
- Công ty TNHH MTV Quốc tế Protrade,- Công ty TNHH MTV Quốc tế Protrade,- Công ty TNHH MTV Quốc tế Protrade,,511.397.354.195,,-,511.397.354.195,,-,,511397354195.0,,,511397354195.0,,
- Công ty TNHH Sân Golf Palm Sông Bé,- Công ty TNHH Sân Golf Palm Sông Bé,- Công ty TNHH Sân Golf Palm Sông Bé,,915.047.144.712,,-,915.047.144.712,,(8.238.346.730),,915047144712.0,,,915047144712.0,,-8238346730.0
- Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,,392.565.574.329,,(86.761.731.605),392.565.574.329,,(100.970.510.414),,392565574329.0,,-86761731605.0,392565574329.0,,-100970510414.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,1.153.336.427.266,,(395.232.310.913),1.153.336.427.266,,(386.007.109.196),,1153336427266.0,,-395232310913.0,1153336427266.0,,-386007109196.0
- Công ty CP Phát triển Phú Mỹ,- Công ty CP Phát triển Phú Mỹ,- Công ty CP Phát triển Phú Mỹ,,238.562.498.304,,(223.033.109.744),238.562.498.304,,(209.500.417.887),,238562498304.0,,-223033109744.0,238562498304.0,,-209500417887.0
- Công ty TNHH FrieslandCampina Việt Nam,- Công ty TNHH FrieslandCampina Việt Nam,- Công ty TNHH FrieslandCampina Việt Nam,,298.799.188.283,,(4.954.885.287),298.799.188.283,,(7.131.001.513),,298799188283.0,,-4954885287.0,298799188283.0,,-7131001513.0
- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,,243.622.560.000,,(76.023.644.846),243.622.560.000,,(79.194.746.378),,243622560000.0,,-76023644846.0,243622560000.0,,-79194746378.0
- Công ty CP Hưng Vương,- Công ty CP Hưng Vương,- Công ty CP Hưng Vương,,68.438.780.329,,-,68.438.780.329,,-,,68438780329.0,,,68438780329.0,,
- Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,,26.301.686.013,,-,26.301.686.013,,-,,26301686013.0,,,26301686013.0,,
- Công ty CP Đầu tư & Phát triển Tân Thành,- Công ty CP Đầu tư & Phát triển Tân Thành,- Công ty CP Đầu tư & Phát triển Tân Thành,,156.890.179.774,,(91.220.671.036),156.890.179.774,,(90.180.943.418),,156890179774.0,,-91220671036.0,156890179774.0,,-90180943418.0
- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,BDG,120.721.534.563,501.652.123.200,-,120.721.534.563,399.901.928.400,-,,120721534563.0,501652123200.0,,120721534563.0,399901928400.0,
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,,505.000.000,,-,505.000.000,,-,,505000000.0,,,505000000.0,,
- Công ty Cổ phần Cơ khí Vận tải Cao su Dầu Tiếng,- Công ty Cổ phần Cơ khí Vận tải Cao su Dầu Tiếng,- Công ty Cổ phần Cơ khí Vận tải Cao su Dầu Tiếng,,505.000.000,,-,505.000.000,,-,,505000000.0,,,505000000.0,,
,,,,3.137.110.218.019,,(494.691.688.898),3.137.110.218.019,,(511.335.298.377),,3137110218019.0,,-494691688898.0,3137110218019.0,,-511335298377.0
