row_label_raw,row_label_full,"Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh","Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh_1","Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh_2","Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh_3","Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh_4","Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh_5",Báo cáo tài chính riêngcho năm tài chính kết thúc ngày 31/12/2025,"numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh_1","numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh_2","numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh_3","numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh_4","numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh_5",numeric__Báo cáo tài chính riêngcho năm tài chính kết thúc ngày 31/12/2025
17 . CÁC KHOẢN VAY (tiếp theo),17 . CÁC KHOẢN VAY (tiếp theo),17 . CÁC KHOẢN VAY (tiếp theo),17 . CÁC KHOẢN VAY (tiếp theo),17 . CÁC KHOẢN VAY (tiếp theo),17 . CÁC KHOẢN VAY (tiếp theo),17 . CÁC KHOẢN VAY (tiếp theo),17 . CÁC KHOẢN VAY (tiếp theo),17 . CÁC KHOẢN VAY (tiếp theo),,,,,,
,,,Hạn mức,Thời hạn vay,Mục đích vay,Lãi suất,Hình thức đảm bảo,31/12/2025,,,,,,
,,,VND,,,,,VND,,,,,,
Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:Bên liên quan,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:Bên liên quan,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:Bên liên quan,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:Bên liên quan,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:Bên liên quan,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:Bên liên quan,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:Bên liên quan,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:Bên liên quan,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:Bên liên quan,,,,,,
(1) Công ty TNHH MTV Quốc tế Protrade,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:Bên liên quan > (1) Công ty TNHH MTV Quốc tế Protrade,(1) Công ty TNHH MTV Quốc tế Protrade,(1) Công ty TNHH MTV Quốc tế Protrade,(1) Công ty TNHH MTV Quốc tế Protrade,(1) Công ty TNHH MTV Quốc tế Protrade,(1) Công ty TNHH MTV Quốc tế Protrade,(1) Công ty TNHH MTV Quốc tế Protrade,90.000.000.000,,,,,,90000000000.0
(1.1) Hợp đồng vay vốn số 01/2023/HĐVV ngày 15/03/2023,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:Bên liên quan > (1.1) Hợp đồng vay vốn số 01/2023/HĐVV ngày 15/03/2023,(1.1) Hợp đồng vay vốn số 01/2023/HĐVV ngày 15/03/2023,100.000.000.000,12 tháng(Tự động gia hạn),Bổ sung vốn lưu động,"9,4%/năm",Tín chấp,60.000.000.000,100000000000.0,,,,,60000000000.0
(1.2) Hợp đồng vay vốn số 01/2024/HĐVV ngày 09/09/2024,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:Bên liên quan > (1.2) Hợp đồng vay vốn số 01/2024/HĐVV ngày 09/09/2024,(1.2) Hợp đồng vay vốn số 01/2024/HĐVV ngày 09/09/2024,30.000.000.000,12 tháng(Tự động gia hạn),Bổ sung vốn lưu động,7%/năm,Tín chấp,30.000.000.000,30000000000.0,,,,,30000000000.0
(2) Công ty TNHH Sân Golf Palm Sông Bé,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:Bên liên quan > (2) Công ty TNHH Sân Golf Palm Sông Bé,(2) Công ty TNHH Sân Golf Palm Sông Bé,(2) Công ty TNHH Sân Golf Palm Sông Bé,(2) Công ty TNHH Sân Golf Palm Sông Bé,(2) Công ty TNHH Sân Golf Palm Sông Bé,(2) Công ty TNHH Sân Golf Palm Sông Bé,(2) Công ty TNHH Sân Golf Palm Sông Bé,70.000.000.000,,,,,,70000000000.0
(2.1) Hợp đồng vay vốn số SBGR-TCTY/2023/227/1458/002 ngày 21/08/2023 và Phụ lục hợp đồng số 02 ngày 08/09/2025,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:Bên liên quan > (2.1) Hợp đồng vay vốn số SBGR-TCTY/2023/227/1458/002 ngày 21/08/2023 và Phụ lục hợp đồng số 02 ngày 08/09/2025,(2.1) Hợp đồng vay vốn số SBGR-TCTY/2023/227/1458/002 ngày 21/08/2023 và Phụ lục hợp đồng số 02 ngày 08/09/2025,30.000.000.000,12 tháng,Bổ sung vốn lưu động,"7,2%/năm",Tín chấp,30.000.000.000,30000000000.0,,,,,30000000000.0
(2.2) Hợp đồng vay vốn số SBGR-TCTY/2023/333/2511/015 ngày 07/12/2023 và Phụ lục hợp đồng số 02 ngày 03/12/2025,Thông tin chi tiết liên quan đến các khoản vay ngắn hạn:Bên liên quan > (2.2) Hợp đồng vay vốn số SBGR-TCTY/2023/333/2511/015 ngày 07/12/2023 và Phụ lục hợp đồng số 02 ngày 03/12/2025,(2.2) Hợp đồng vay vốn số SBGR-TCTY/2023/333/2511/015 ngày 07/12/2023 và Phụ lục hợp đồng số 02 ngày 03/12/2025,40.000.000.000,12 tháng,Bổ sung vốn lưu động,"7,7%/năm",Tín chấp,40.000.000.000,40000000000.0,,,,,40000000000.0
