row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả các thầu phụ,Ngắn hạn > Phải trả các thầu phụ,Phải trả các thầu phụ,8.961.221.296,17.862.579.759,8961221296.0,17862579759.0
"Nhận ký quỹ, ký cược","Ngắn hạn > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",5.403.687.593,16.257.545.683,5403687593.0,16257545683.0
Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Ngắn hạn > Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,7.090.972.564,6.929.314.758,7090972564.0,6929314758.0
"Kinh phí đo đạc, cấm móc, cấp giấy chứng nhận quyền sử dụng đất (*)","Ngắn hạn > Kinh phí đo đạc, cấm móc, cấp giấy chứng nhận quyền sử dụng đất (*)","Kinh phí đo đạc, cấm móc, cấp giấy chứng nhận quyền sử dụng đất (*)",1.620.147.547,1.620.147.547,1620147547.0,1620147547.0
"Cổ tức, lợi nhuận phải trả","Ngắn hạn > Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",338.339.529,257.006.379,338339529.0,257006379.0
"Các khoản phải trả, phải nộp khác","Ngắn hạn > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",28.476.890.256,19.272.001.451,28476890256.0,19272001451.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,51.891.258.785,62.198.595.577,51891258785.0,62198595577.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Nhận ký quỹ, ký cược","Dài hạn > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",34.808.757.998,32.514.226.513,34808757998.0,32514226513.0
Phải trả dài hạn khác cho bên liên quan(Thuyết minh số 33),Dài hạn > Phải trả dài hạn khác cho bên liên quan(Thuyết minh số 33),Phải trả dài hạn khác cho bên liên quan(Thuyết minh số 33),-,1.215.535.680,,1215535680.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,34.808.757.998,33.729.762.193,34808757998.0,33729762193.0
