row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tài sân cố địnhkhác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sân cố địnhkhác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,419.690.905.274,496.717.455.863,75.169.181.737,71.561.444.931,10.924.021.424,1.074.063.009.229,419690905274.0,496717455863.0,75169181737.0,71561444931.0,10924021424.0,1074063009229.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,4.541.686.132,25.470.301.031,429.325.891,772.368.694,94.961.000,31.308.642.748,4541686132.0,25470301031.0,429325891.0,772368694.0,94961000.0,31308642748.0
- Đầu tư xây dựng cơ bảnhoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bảnhoàn thành,- Đầu tư xây dựng cơ bảnhoàn thành,28.326.390.761,3.865.339.237,-,-,95.220.000,32.286.949.998,28326390761.0,3865339237.0,,,95220000.0,32286949998.0
- Chuyển sang bất độngsản đầu tư,Nguyên giá: > - Chuyển sang bất độngsản đầu tư,- Chuyển sang bất độngsản đầu tư,(8.103.843.224),-,-,-,-,(8.103.843.224),-8103843224.0,,,,,-8103843224.0
- Giảm do thoái vốn củacông ty con,Nguyên giá: > - Giảm do thoái vốn củacông ty con,- Giảm do thoái vốn củacông ty con,(3.120.174.214),(833.193.321),(903.309.591),(110.788.789),-,(4.967.465.915),-3120174214.0,-833193321.0,-903309591.0,-110788789.0,,-4967465915.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(854.276.270),(3.048.720.632),(1.293.583.740),(70.158.690),(217.489.997),(5.484.229.329),-854276270.0,-3048720632.0,-1293583740.0,-70158690.0,-217489997.0,-5484229329.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,440.480.688.459,522.171.182.178,73.401.614.297,72.152.866.146,10.896.712.427,1.119.103.063.507,440480688459.0,522171182178.0,73401614297.0,72152866146.0,10896712427.0,1119103063507.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,186.229.654.877,384.091.004.531,37.268.063.219,62.664.107.145,3.035.962.606,673.288.792.378,186229654877.0,384091004531.0,37268063219.0,62664107145.0,3035962606.0,673288792378.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,309.330.093.668,437.645.366.076,58.027.815.859,65.284.038.792,7.016.849.925,877.304.164.320,309330093668.0,437645366076.0,58027815859.0,65284038792.0,7016849925.0,877304164320.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,11.439.450.585,14.878.160.506,5.256.900.968,1.812.851.827,642.993.972,34.030.357.858,11439450585.0,14878160506.0,5256900968.0,1812851827.0,642993972.0,34030357858.0
- Chuyển sang bất độngsản đầu tư,Giá trị khấu hao lũy kế: > - Chuyển sang bất độngsản đầu tư,- Chuyển sang bất độngsản đầu tư,(5.612.911.593),-,-,-,-,(5.612.911.593),-5612911593.0,,,,,-5612911593.0
- Giảm do thoái vốn tạicông ty con,Giá trị khấu hao lũy kế: > - Giảm do thoái vốn tạicông ty con,- Giảm do thoái vốn tạicông ty con,(2.869.659.090),(833.193.321),(903.309.591),(110.788.789),-,(4.716.950.791),-2869659090.0,-833193321.0,-903309591.0,-110788789.0,,-4716950791.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(854.276.270),(3.048.720.632),(1.293.583.740),(70.158.690),(130.894.854),(5.397.634.186),-854276270.0,-3048720632.0,-1293583740.0,-70158690.0,-130894854.0,-5397634186.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,311.432.697.300,448.641.612.629,61.087.823.496,66.915.943.140,7.528.949.043,895.607.025.608,311432697300.0,448641612629.0,61087823496.0,66915943140.0,7528949043.0,895607025608.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,110.360.811.606,59.072.089.787,17.141.365.878,6.277.406.139,3.907.171.499,196.758.844.909,110360811606.0,59072089787.0,17141365878.0,6277406139.0,3907171499.0,196758844909.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,129.047.991.159,73.529.569.549,12.313.790.801,5.236.923.006,3.367.763.384,223.496.037.899,129047991159.0,73529569549.0,12313790801.0,5236923006.0,3367763384.0,223496037899.0
