row_label_raw,row_label_full,Ông Phí Mạnh Cường,Chủ tịch,numeric__Chủ tịch
Ông Đỗ Vinh Quang,Ông Đỗ Vinh Quang,Ông Đỗ Vinh Quang,Phó Chủ tịch,
Ông Lê Quốc Khánh,Ông Lê Quốc Khánh,Ông Lê Quốc Khánh,Thành viên,
Ông Nguyễn Trung Kiên,Ông Nguyễn Trung Kiên,Ông Nguyễn Trung Kiên,Thành viên,
Bà Ngô Thị Thúy Mai,Bà Ngô Thị Thúy Mai,Bà Ngô Thị Thúy Mai,Thành viên,
