row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.990.832.085,34.054.685.900,(32.433.178.867),4.612.339.118,2990832085.0,34054685900.0,-32433178867.0,4612339118.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,5.332.081.668,45.305.091.584,(21.483.530.084),29.153.643.168,5332081668.0,45305091584.0,-21483530084.0,29153643168.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.124.810.085,13.224.206.554,(11.950.033.107),2.398.983.532,1124810085.0,13224206554.0,-11950033107.0,2398983532.0
"Thuế nhà đất, tiền thuê đất","Phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",1.765.478.991,19.057.773.672,(17.738.281.940),3.084.970.723,1765478991.0,19057773672.0,-17738281940.0,3084970723.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,145.434.670,344.912.704,(490.603.212),(255.838),145434670.0,344912704.0,-490603212.0,-255838.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,11.358.637.499,111.986.670.414,(84.095.627.210),39.249.680.703,11358637499.0,111986670414.0,-84095627210.0,39249680703.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,2.952.352.146,7.540.448,(2.358.738.838),601.153.756,2952352146.0,7540448.0,-2358738838.0,601153756.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,464.173.500,220.440.400,(333.701.028),350.912.872,464173500.0,220440400.0,-333701028.0,350912872.0
Các loại thuế khác,Phải thu > Các loại thuế khác,Các loại thuế khác,28.000.638,4.262.745.547,(462.682.394),3.828.063.791,28000638.0,4262745547.0,-462682394.0,3828063791.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,3.444.526.284,4.490.726.395,(3.155.122.260),4.780.130.419,3444526284.0,4490726395.0,-3155122260.0,4780130419.0
